condition,analysis_family,metric,test,human_n,ai_subsample_n,ai_pool_n,n_boot,human_value,ai_boot_mean,ai_boot_ci_low,ai_boot_ci_high,effect_human_minus_ai_boot_mean,effect_ci_low,effect_ci_high,bootstrap_p_value_directional
one_at_a_time,pooled_human_vs_allai_matrix_same_n_bootstrap,mean_pairwise_distance,same-size AI bootstrap,23,23,69,1000,0.41556963324546814,0.26770628165453675,0.13507716096937655,0.36602098271250727,0.14786335159093142,0.04954865053296089,0.2804924722760916,0.0
one_at_a_time,pooled_human_vs_allai_matrix_same_n_bootstrap,nearest_neighbor_distance,same-size AI bootstrap,23,23,69,1000,0.08198253486467444,0.03774724238592646,0.027377130350340968,0.048738592603932256,0.044235292478747995,0.03324394226074218,0.05460540451433347,0.0
one_at_a_time,pooled_human_vs_allai_matrix_same_n_bootstrap,grid_entropy,same-size AI bootstrap,23,23,69,1000,2.9424955222917832,3.4219009971693177,3.0990401864231663,3.6753108689123644,-0.47940547487753427,-0.7328153466205811,-0.15654466413138313,0.008
one_at_a_time,pooled_human_vs_allai_matrix_same_n_bootstrap,mst_dispersion,same-size AI bootstrap,23,23,69,1000,0.1100744063203985,0.06470913986726241,0.05205730958418412,0.07633182514797557,0.04536526645313609,0.033742581172422924,0.05801709673621437,0.0
one_at_a_time,pooled_human_vs_allai_matrix_same_n_bootstrap,global_nn_distance,same-size AI bootstrap,23,23,69,1000,0.07322990894317627,0.03034266126933305,0.02124454158803691,0.04015338148759758,0.04288724767384322,0.03307652745557868,0.05198536735513935,0.0
one_at_a_time,pooled_human_vs_allai_matrix_same_n_bootstrap,global_mean_5nn_distance,same-size AI bootstrap,23,23,69,1000,0.0808114590852157,0.03746259182639743,0.025077375056950943,0.049509606814902754,0.04334886725881826,0.03130185227031294,0.05573408402826475,0.0
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_element_novelty_k1,same-size AI bootstrap,23,23,69,1000,0.09889992423679518,0.10564173550191133,0.09603566987359007,0.11537336648806282,-0.006741811265116148,-0.016473442251267633,0.0028642543632051176,0.19
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_mean_knn_novelty_k10,same-size AI bootstrap,23,23,69,1000,0.1155791769856992,0.11900468092819919,0.10876434089049047,0.12908739325145016,-0.0034255039424999933,-0.013508216265750977,0.0068148360952087084,0.504
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_local_density_normalized_novelty,same-size AI bootstrap,23,23,69,1000,0.30909824989389884,0.37762929790439353,0.17275981109369246,0.5793452655107341,-0.06853104801049466,-0.27024701561683523,0.13633843880020624,0.504
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_region_entropy,same-size AI bootstrap,23,23,69,1000,0.5811551782805128,0.4398709788708885,0.28042880871012,0.6078966091962831,0.1412841994096243,-0.02674143091577035,0.30072636957039267,0.108
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_max_region_weight,same-size AI bootstrap,23,23,69,1000,0.8282608695652173,0.8691000000000001,0.8086956521739133,0.9260869565217391,-0.04083913043478273,-0.09782608695652184,0.019565217391304016,0.174
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_unique_regions,same-size AI bootstrap,23,23,69,1000,2.0869565217391304,1.8148260869565216,1.5217391304347827,2.130434782608696,0.2721304347826086,-0.04347826086956541,0.5652173913043477,0.098
one_at_a_time,pooled_human_vs_allai_external_reference_same_n_bootstrap,mesh_unique_terms_k20,same-size AI bootstrap,23,23,69,1000,86.47826086956522,91.19582608695652,82.56304347826087,98.78260869565217,-4.717565217391302,-12.304347826086953,3.915217391304351,0.254
one_at_a_time,pooled_human_vs_allai_mesh_union,mesh_group_union_terms,same-size AI bootstrap,23,23,69,1000,871.0,764.946,663.0,859.025,106.054,11.975000000000001,208.0,0.024
