condition,review_uid,target_proposal_uid,review_source,source_family,evaluator_model,review_draw_index,text_versions_available,target_human_n_reviews,is_human_panel_member,is_ai_pool_member,is_ai_claude_member,is_ai_gemini_member,is_ai_gpt_member
one_at_a_time,y1::1::1::01,y1::1,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::1::2::01,y1::1,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::1::3::01,y1::1,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::1::4::01,y1::1,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,one_at_a_time::y1::1::claude-sonnet-5::001,y1::1,ai,claude,claude-sonnet-5,1,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::1::claude-sonnet-5::002,y1::1,ai,claude,claude-sonnet-5,2,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::1::claude-sonnet-5::003,y1::1,ai,claude,claude-sonnet-5,3,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::1::claude-sonnet-5::004,y1::1,ai,claude,claude-sonnet-5,4,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::1::claude-sonnet-5::005,y1::1,ai,claude,claude-sonnet-5,5,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::1::gpt-5.5::001,y1::1,ai,gpt,gpt-5.5,1,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::1::gpt-5.5::002,y1::1,ai,gpt,gpt-5.5,2,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::1::gpt-5.5::003,y1::1,ai,gpt,gpt-5.5,3,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::1::gpt-5.5::004,y1::1,ai,gpt,gpt-5.5,4,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::1::gpt-5.5::005,y1::1,ai,gpt,gpt-5.5,5,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::1::gemini-3.1-pro-preview::002,y1::1,ai,gemini,gemini-3.1-pro-preview,2,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::1::gemini-3.1-pro-preview::003,y1::1,ai,gemini,gemini-3.1-pro-preview,3,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::1::gemini-3.1-pro-preview::004,y1::1,ai,gemini,gemini-3.1-pro-preview,4,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::1::gemini-3.1-pro-preview::005,y1::1,ai,gemini,gemini-3.1-pro-preview,5,"original,rephrased",4,False,True,False,True,False
one_at_a_time,y1::10::1::01,y1::10,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::10::2::01,y1::10,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::10::3::01,y1::10,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::10::4::01,y1::10,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,one_at_a_time::y1::10::claude-sonnet-5::001,y1::10,ai,claude,claude-sonnet-5,1,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::10::claude-sonnet-5::002,y1::10,ai,claude,claude-sonnet-5,2,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::10::claude-sonnet-5::003,y1::10,ai,claude,claude-sonnet-5,3,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::10::claude-sonnet-5::004,y1::10,ai,claude,claude-sonnet-5,4,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::10::claude-sonnet-5::005,y1::10,ai,claude,claude-sonnet-5,5,"original,rephrased",4,False,True,True,False,False
one_at_a_time,one_at_a_time::y1::10::gpt-5.5::001,y1::10,ai,gpt,gpt-5.5,1,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::10::gpt-5.5::002,y1::10,ai,gpt,gpt-5.5,2,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::10::gpt-5.5::003,y1::10,ai,gpt,gpt-5.5,3,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::10::gpt-5.5::004,y1::10,ai,gpt,gpt-5.5,4,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::10::gpt-5.5::005,y1::10,ai,gpt,gpt-5.5,5,"original,rephrased",4,False,True,False,False,True
one_at_a_time,one_at_a_time::y1::10::gemini-3.1-pro-preview::001,y1::10,ai,gemini,gemini-3.1-pro-preview,1,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::10::gemini-3.1-pro-preview::002,y1::10,ai,gemini,gemini-3.1-pro-preview,2,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::10::gemini-3.1-pro-preview::003,y1::10,ai,gemini,gemini-3.1-pro-preview,3,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::10::gemini-3.1-pro-preview::004,y1::10,ai,gemini,gemini-3.1-pro-preview,4,"original,rephrased",4,False,True,False,True,False
one_at_a_time,one_at_a_time::y1::10::gemini-3.1-pro-preview::005,y1::10,ai,gemini,gemini-3.1-pro-preview,5,"original,rephrased",4,False,True,False,True,False
one_at_a_time,y1::11::1::01,y1::11,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::11::2::01,y1::11,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::11::3::01,y1::11,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
one_at_a_time,y1::11::4::01,y1::11,human,human,human-y1,,"original,rephrased",4,True,False,False,False,False
