article_idx,pmid,dominant_topic,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
0,24224525,5,0.0010932170553132892,0.0010929725831374526,0.0010932545410469174,0.001093088649213314,0.059498414397239685,0.722262978553772,0.001093230675905943,0.0010930809658020735,0.0010930525604635477,0.0010931325377896428,0.0726730078458786,0.001093247439712286,0.018237370997667313,0.11639684438705444,0.001093079335987568
1,25918840,3,0.10937771201133728,0.0008811915758997202,0.0008811673615127802,0.23299534618854523,0.17588725686073303,0.06550274789333344,0.055642783641815186,0.012575055472552776,0.17208053171634674,0.0008813432068563998,0.0008812261512503028,0.0008813225431367755,0.0008811912848614156,0.16976997256278992,0.0008811456500552595
2,25763025,6,0.0009759894455783069,0.0009756498620845377,0.0009756874642334878,0.0009756914805620909,0.0009757194202393293,0.000975702831055969,0.4896996319293976,0.2314842939376831,0.000975732458755374,0.0009758304804563522,0.0009756679646670818,0.0009758242522366345,0.2671070694923401,0.0009758402011357248,0.0009756569634191692
3,24433517,13,0.0011430270969867706,0.0011429613223299384,0.08990955352783203,0.0011431246530264616,0.0011432291939854622,0.2800790071487427,0.0011431280290707946,0.0011429699370637536,0.001142940716817975,0.17891398072242737,0.0011430506128817797,0.0011430481681600213,0.001142925233580172,0.43852394819259644,0.001143097411841154
4,25653656,5,0.0007018959731794894,0.0007018276955932379,0.0007018143660388887,0.0007020502234809101,0.11353282630443573,0.5513575673103333,0.25515216588974,0.0007018761825747788,0.0007018241449259222,0.0007019898039288819,0.0007018462638370693,0.0722365528345108,0.0007019510958343744,0.0007019545882940292,0.0007018434698693454
5,23786857,13,0.0006689878064207733,0.03205403313040733,0.0006690146401524544,0.0006690084119327366,0.04466161131858826,0.058725301176309586,0.0006691072485409677,0.0006690268055535853,0.0006689709261991084,0.0006690818117931485,0.19747394323349,0.0006689788424409926,0.00066899333614856,0.6603949666023254,0.0006689616711810231
6,25551456,6,0.0009304603445343673,0.0009303294355049729,0.0009304394479840994,0.0009303666302002966,0.05999038368463516,0.0009303165716119111,0.6277199983596802,0.20595534145832062,0.0009303202969022095,0.0009304138948209584,0.0009303754777647555,0.09610026329755783,0.0009303832775913179,0.0009303207043558359,0.0009303088882006705
7,25545504,1,0.0007970407023094594,0.42547592520713806,0.06821732223033905,0.3011172115802765,0.06460648030042648,0.000797014101408422,0.045227210968732834,0.0007969282451085746,0.0007969446596689522,0.08818306773900986,0.0007969329599291086,0.0007970259757712483,0.0007969232392497361,0.0007970691658556461,0.0007968909339979291
8,25606575,3,0.0007845669751986861,0.2932611107826233,0.0007844833307899535,0.48035404086112976,0.08448632061481476,0.0007844085339456797,0.0007844041101634502,0.0007844277424737811,0.0007844848441891372,0.0007844309438951313,0.0007845571381039917,0.0007844632491469383,0.13326938450336456,0.0007845034124329686,0.0007843936909921467
9,25621019,12,0.0008369309362024069,0.0008370347204618156,0.0008368997368961573,0.0008369282586500049,0.0008369074203073978,0.03668227419257164,0.2319473922252655,0.0008369438000954688,0.0008369165589101613,0.0008370153373107314,0.31425803899765015,0.0008369318675249815,0.4079056978225708,0.0008371516014449298,0.0008369299466721714
10,25565973,9,0.11241111159324646,0.0008370034047402442,0.000837088911794126,0.0008370283176191151,0.02381894551217556,0.000837149505969137,0.0008370869909413159,0.000837003521155566,0.0008369737770408392,0.8537254929542542,0.0008370049763470888,0.0008370210998691618,0.0008371021831408143,0.0008370465948246419,0.000836919411085546
11,25566292,4,0.001274209818802774,0.0012740988750010729,0.0012739968951791525,0.0012739910744130611,0.5428401827812195,0.1717386245727539,0.001274129725061357,0.0012741233222186565,0.0012741173850372434,0.2354736030101776,0.0012740906095132232,0.03593228757381439,0.001274339621886611,0.0012741810642182827,0.001274043577723205
12,25566314,11,0.37632426619529724,0.001081166323274374,0.0010811776155605912,0.0010811995016410947,0.0010812627151608467,0.0010811572428792715,0.0010812277905642986,0.001081213355064392,0.0010812270920723677,0.021216724067926407,0.0010812219697982073,0.39808252453804016,0.001081322436220944,0.1924830824136734,0.001081216847524047
13,25540650,10,0.0007549463189207017,0.0007548473076894879,0.03340500220656395,0.19779951870441437,0.0007549727451987565,0.2506890594959259,0.0007548012654297054,0.000754781358409673,0.000754835840780288,0.0007549113361164927,0.5098029375076294,0.0007547885179519653,0.0007549473666585982,0.0007548430003225803,0.0007548017310909927
14,25538734,4,0.0013608669396489859,0.0013606221182271838,0.0013607171131297946,0.2236429899930954,0.39946019649505615,0.001360654248856008,0.1365969181060791,0.0013606157153844833,0.0013606136199086905,0.0013608402805402875,0.0013607164146378636,0.22533190250396729,0.0013608718290925026,0.0013607086148113012,0.0013607569271698594
15,24469031,4,0.0010364851914346218,0.16425006091594696,0.0010364995105192065,0.001036429195664823,0.6544117331504822,0.16890054941177368,0.0010366156930103898,0.001036409055814147,0.001036367379128933,0.0010364250047132373,0.001036519301123917,0.0010365883354097605,0.0010365862399339676,0.0010363905457779765,0.0010363367618992925
16,25464511,5,0.0006515876739285886,0.0006515716086141765,0.10524711012840271,0.0006517173605971038,0.0006516595021821558,0.36786097288131714,0.0006517457077279687,0.0006515157292596996,0.021950431168079376,0.0006517411675304174,0.2688104510307312,0.0006515980348922312,0.0006515496061183512,0.22961477935314178,0.0006515883142128587
