group_1,group_2,chamfer_distance
Human,Claude,0.06743477284908295
Human,Gemini,0.08302778005599976
Human,GPT,0.07125154882669449
Claude,Gemini,0.05574272945523262
Claude,GPT,0.051331229507923126
Gemini,GPT,0.058580439537763596
