proposal_uid,source_type,source_group,lda_topic,lda_topic_prob_0,lda_topic_prob_1,lda_topic_prob_2,lda_topic_prob_3,lda_topic_prob_4
y1::1,human,Human,0,0.9885730480970059,0.0028613543761856516,0.0028488894936485975,0.0028700778072630524,0.002846630225896937
y1::10,human,Human,2,0.002284512931754963,0.0022760685264030397,0.9908761522183563,0.002290058199720374,0.0022732081237652434
y1::11,human,Human,3,0.002343306845532484,0.002359498094732703,0.002338811241559894,0.990611960594001,0.002346423224173761
y1::12,human,Human,1,0.0024940769418139554,0.9900338364603788,0.002491777938581975,0.0024924694106918926,0.0024878392485333314
y1::2,human,Human,0,0.9917680269135275,0.0020532876175662347,0.0020636042175866173,0.0020585652420234105,0.0020565160092960283
y1::3,human,Human,1,0.0021369748570618406,0.9914709136931974,0.0021265250747464306,0.002142358915392894,0.002123227459601406
y1::4,human,Human,0,0.988382883609162,0.0029057775167465605,0.002905177841654801,0.0029177507379619726,0.0028884102944747663
y1::5,human,Human,3,0.058558483237074466,0.0019506036171239697,0.0019501753429425025,0.7257477810136732,0.21179295678918592
y1::6,human,Human,2,0.0019445422919742656,0.0019430750263635446,0.9922144582622543,0.001952427075199442,0.0019454973442084719
y1::7,human,Human,3,0.0023043484212463224,0.41204146194163366,0.002288313188756988,0.5810571998099967,0.002308676638366286
y1::8,human,Human,0,0.9917943315606471,0.0020550691199544106,0.002048079867603345,0.002056153087784244,0.0020463663640109568
y1::9,human,Human,0,0.9913184235928107,0.002169957177943903,0.00215580202769646,0.002177793132705165,0.0021780240688437243
y2::1,human,Human,3,0.0021578146489895397,0.002148203540091406,0.0021385608849738722,0.8156961309666741,0.17785928995927094
y2::10,human,Human,4,0.0019917386188237365,0.0020070461450478936,0.001987286303586833,0.27879628576976623,0.7152176431627753
y2::11,human,Human,3,0.0026271040918703172,0.27147827806552094,0.002596853324400501,0.7206882498363556,0.0026095146818527087
y2::2,human,Human,3,0.0023737666313950966,0.0023627043237473655,0.002379045136424998,0.9905241580630203,0.002360325845412213
y2::3,human,Human,3,0.002210858294366019,0.0021835510359199763,0.00217888414841048,0.9912091295320069,0.002217576989296635
y2::4,human,Human,3,0.0025091968368177856,0.002508005982067434,0.0025159350573598013,0.9899362710648661,0.002530591058888792
y2::5,human,Human,0,0.989725553246099,0.0025747991063361708,0.002558578112937696,0.0025798068062545714,0.0025612627283723385
y2::6,human,Human,3,0.0025833434200900275,0.0025802693360506682,0.002575227688082069,0.9896985258630352,0.002562633692742143
y2::7,human,Human,1,0.3432352243354982,0.430928183703733,0.0021377512657347613,0.22155572544290073,0.0021431152521333434
y2::8,human,Human,3,0.0023386460837241017,0.41888186036974423,0.11994458225839487,0.4565364135005675,0.0022984977875694142
y2::9,human,Human,1,0.002470795789557485,0.9901655746903641,0.0024574493903313202,0.002452752252273899,0.00245342787747327
baseline::claude-opus-4-5::01,ai,Claude,3,0.0018177815195533063,0.0018039850700898004,0.0018056655551639345,0.9927690021587912,0.0018035656964017215
baseline::claude-opus-4-5::02,ai,Claude,3,0.00207693260977788,0.0020628397820907003,0.002066700131699605,0.9917342695427955,0.0020592579336362335
baseline::claude-opus-4-5::03,ai,Claude,3,0.0020503006987954812,0.0020536291246638903,0.00204669524535431,0.9918046619609806,0.002044712970205765
baseline::claude-opus-4-5::04,ai,Claude,4,0.0021091434335234185,0.0021109258526624698,0.002092688211441428,0.0021161547922918154,0.9915710877100808
baseline::claude-opus-4-5::05,ai,Claude,3,0.0018769767525250484,0.0018911200309238278,0.0018852862259808427,0.9924695727637909,0.0018770442267794002
baseline::claude-opus-4-5::06,ai,Claude,3,0.0020222921050842397,0.0020365412774180918,0.0020137644259272413,0.9919131849157078,0.0020142172758627072
baseline::claude-opus-4-5::07,ai,Claude,4,0.0020636716811937125,0.0020781022350408592,0.0020677925373916504,0.0020829420450468226,0.991707491501327
baseline::claude-opus-4-5::08,ai,Claude,3,0.0020408312741045202,0.0020323313765251037,0.0020347060709311328,0.9918642913401133,0.0020278399383258554
baseline::claude-opus-4-5::09,ai,Claude,3,0.002322036021968391,0.0023145398903063968,0.0023303926372342455,0.9907175716213152,0.002315459829175783
baseline::claude-opus-4-5::10,ai,Claude,3,0.0026456432829548263,0.0026448105611689343,0.002629450053993902,0.9894422325198869,0.002637863581995443
baseline::claude-opus-4-5::11,ai,Claude,3,0.0020215904631175367,0.1535475012365505,0.0020212351045580932,0.8403942628443657,0.002015410351408236
baseline::claude-opus-4-5::12,ai,Claude,2,0.002408371909903878,0.00240458395786631,0.9903714119239059,0.0024197183051351185,0.002395913903188999
baseline::claude-opus-4-5::13,ai,Claude,3,0.0028493493772892868,0.0028626170322799,0.0028813339152106254,0.9885333517054508,0.002873347969769309
baseline::claude-opus-4-5::14,ai,Claude,3,0.0018626306181858826,0.001850522117882094,0.2475262515761167,0.7468837236782414,0.0018768720095739704
baseline::claude-opus-4-5::15,ai,Claude,3,0.002003908106390617,0.002020018444295039,0.0020050715700063,0.9919645960253256,0.0020064058539823906
baseline::claude-opus-4-5::16,ai,Claude,3,0.0020264287760899374,0.0020290723385470873,0.14770033738362742,0.8462402407788775,0.0020039207228581403
baseline::claude-opus-4-5::17,ai,Claude,3,0.002108861655222844,0.0021155091610207295,0.0020918397778571687,0.9915847011702686,0.0020990882356305197
baseline::claude-opus-4-5::18,ai,Claude,3,0.002079267727114397,0.002062578614602057,0.002062406275166965,0.9917383311170989,0.0020574162660178465
baseline::claude-opus-4-5::19,ai,Claude,2,0.0020482525503989894,0.0020507646852949792,0.9917555693537433,0.002077275326585917,0.002068138083976721
baseline::claude-opus-4-5::20,ai,Claude,2,0.0021429466331816895,0.21819020987088367,0.7753666287652703,0.002162840573910669,0.002137374156753708
