condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
baseline,claude,Claude,mean_pairwise,confirmatory,all_proposals,23,0.034286664275155546,0.05079897953116375,-0.016512315256008204,-0.017060665289560954,1.4815958508968512,5.0,2.384185791015625e-06,-0.8260869565217391
baseline,claude,Claude,medoid_dist,exploratory,all_proposals,23,0.02150511538636857,0.0322520841722903,-0.010746968785921733,-0.01137196620305379,1.4997401126586793,3.0,1.1920928955078125e-06,-0.8260869565217391
baseline,claude,Claude,mst_dispersion,exploratory,all_proposals,23,0.029076105442599975,0.04407606772754503,-0.014999962284945063,-0.014556097984313968,1.5158862253597523,2.0,7.152557373046875e-07,-0.9130434782608695
baseline,claude,Claude,nn,confirmatory,all_proposals,23,0.02747537951538528,0.04234061422555343,-0.014865234710168146,-0.015441149473190308,1.5410383758973782,3.0,1.1920928955078125e-06,-0.8260869565217391
baseline,claude,Claude,remote_clique,compatibility,all_proposals,23,0.034286664275155546,0.05079897953116375,-0.016512315256008204,-0.017060665289560954,1.4815958508968512,5.0,2.384185791015625e-06,-0.8260869565217391
baseline,claude,Claude,span90,exploratory,all_proposals,23,0.01560539749800454,0.02229784805125781,-0.00669245055325327,-0.006845252172781202,1.4288548596156574,14.0,2.6226043701171875e-05,-0.7391304347826086
baseline,claude,Claude,sparseness,exploratory,all_proposals,23,0.012411505396373668,0.018411234208084576,-0.005999728811710912,-0.006077354838215809,1.4834005722999466,5.0,2.384185791015625e-06,-0.8260869565217391
baseline,gemini,Gemini,centroid_loo,exploratory,all_proposals,23,0.024214177718946416,0.03417962350973249,-0.009965445790786082,-0.010302457261196864,1.4115541690680085,15.0,3.266334533691406e-05,-0.7391304347826086
baseline,gemini,Gemini,global_centroid_dist,exploratory,all_proposals,23,0.012411505396373668,0.017483569649847562,-0.005072064253473894,-0.005069787321580976,1.4086582643678198,15.0,3.266334533691406e-05,-0.7391304347826086
baseline,gemini,Gemini,mean_pairwise,confirmatory,all_proposals,23,0.034286664275155546,0.0481825571993123,-0.01389589292415674,-0.013640763362248738,1.4052856472895747,15.0,3.266334533691406e-05,-0.7391304347826086
