,mean_pairwise_distance,nearest_neighbor_distance,literature_element_novelty_k1,literature_mean_knn_novelty_k10,literature_local_density_normalized_novelty
mean_pairwise_distance,1.0,0.7851035996767095,0.6422295091230698,0.691003027061564,0.6910030270615637
nearest_neighbor_distance,0.7851035996767095,1.0,0.6267693838793341,0.6480367797579039,0.6480367797579037
literature_element_novelty_k1,0.6422295091230698,0.6267693838793341,1.0,0.9803521179742453,0.9803521179742454
literature_mean_knn_novelty_k10,0.691003027061564,0.6480367797579039,0.9803521179742453,1.0,0.9999999999999997
literature_local_density_normalized_novelty,0.6910030270615637,0.6480367797579037,0.9803521179742454,0.9999999999999997,1.0
