condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
persona,claude,Claude,nn,medoid_dist,0.9644268774703558,1.3053953287267002e-13,23,strengths
persona,claude,Claude,nn,mst_dispersion,0.9713438735177865,1.3898050327857093e-14,23,strengths
persona,claude,Claude,nn,remote_clique,0.9011857707509882,4.48681122881196e-09,23,strengths
persona,claude,Claude,nn,span90,0.7351778656126482,6.434557965572448e-05,23,strengths
persona,claude,Claude,nn,sparseness,0.8764822134387351,4.1750240185926826e-08,23,strengths
persona,claude,Claude,span90,mst_dispersion,0.7766798418972332,1.3132903217007575e-05,23,strengths
persona,claude,Claude,span90,remote_clique,0.9140316205533597,1.101726912534852e-09,23,strengths
persona,claude,Claude,span90,sparseness,0.9367588932806324,4.855363761083324e-11,23,strengths
persona,claude,Claude,sparseness,remote_clique,0.9920948616600791,2.0399146317564257e-20,23,strengths
persona,gemini,Gemini,centroid_loo,global_centroid_dist,0.9812252964426879,1.7119446104319924e-16,23,strengths
persona,gemini,Gemini,centroid_loo,medoid_dist,0.9644268774703558,1.3053953287267002e-13,23,strengths
persona,gemini,Gemini,centroid_loo,mst_dispersion,0.9614624505928853,2.9858709763379274e-13,23,strengths
persona,gemini,Gemini,centroid_loo,remote_clique,0.9980237154150198,9.980970744570998e-27,23,strengths
persona,gemini,Gemini,centroid_loo,span90,0.9634387351778656,1.7329804448776302e-13,23,strengths
persona,gemini,Gemini,centroid_loo,sparseness,0.9812252964426879,1.7119446104319924e-16,23,strengths
persona,gemini,Gemini,global_centroid_dist,medoid_dist,0.9713438735177865,1.3898050327857093e-14,23,strengths
persona,gemini,Gemini,global_centroid_dist,mst_dispersion,0.9446640316205533,1.2376027906403914e-11,23,strengths
persona,gemini,Gemini,global_centroid_dist,remote_clique,0.9851778656126482,1.4555716366082698e-17,23,strengths
persona,gemini,Gemini,global_centroid_dist,span90,0.9792490118577075,4.854287395760623e-16,23,strengths
persona,gemini,Gemini,global_centroid_dist,sparseness,1.0,0.0,23,strengths
persona,gemini,Gemini,mean_pairwise,centroid_loo,0.9980237154150198,9.980970744570998e-27,23,strengths
persona,gemini,Gemini,mean_pairwise,global_centroid_dist,0.9851778656126482,1.4555716366082698e-17,23,strengths
persona,gemini,Gemini,mean_pairwise,medoid_dist,0.9664031620553359,7.225576101378271e-14,23,strengths
persona,gemini,Gemini,mean_pairwise,mst_dispersion,0.9624505928853755,2.2830334775646334e-13,23,strengths
persona,gemini,Gemini,mean_pairwise,nn,0.9347826086956521,6.648388758678471e-11,23,strengths
persona,gemini,Gemini,mean_pairwise,remote_clique,1.0,0.0,23,strengths
persona,gemini,Gemini,mean_pairwise,span90,0.9683794466403162,3.8565010642989665e-14,23,strengths
persona,gemini,Gemini,mean_pairwise,sparseness,0.9851778656126482,1.4555716366082698e-17,23,strengths
persona,gemini,Gemini,medoid_dist,mst_dispersion,0.9733201581027668,6.620049324533835e-15,23,strengths
persona,gemini,Gemini,medoid_dist,remote_clique,0.9664031620553359,7.225576101378271e-14,23,strengths
persona,gemini,Gemini,medoid_dist,span90,0.9466403162055337,8.522205691075868e-12,23,strengths
persona,gemini,Gemini,medoid_dist,sparseness,0.9713438735177865,1.3898050327857093e-14,23,strengths
persona,gemini,Gemini,mst_dispersion,remote_clique,0.9624505928853755,2.2830334775646334e-13,23,strengths
persona,gemini,Gemini,mst_dispersion,sparseness,0.9446640316205533,1.2376027906403914e-11,23,strengths
persona,gemini,Gemini,nn,centroid_loo,0.9347826086956521,6.648388758678471e-11,23,strengths
persona,gemini,Gemini,nn,global_centroid_dist,0.9150197628458498,9.801372424338925e-10,23,strengths
persona,gemini,Gemini,nn,medoid_dist,0.9466403162055337,8.522205691075868e-12,23,strengths
persona,gemini,Gemini,nn,mst_dispersion,0.9901185770750988,2.1058652770074424e-19,23,strengths
persona,gemini,Gemini,nn,remote_clique,0.9347826086956521,6.648388758678471e-11,23,strengths
persona,gemini,Gemini,nn,span90,0.8735177865612648,5.2833871130814296e-08,23,strengths
