cohort,proposal_key,proposal_uid,proposal_title,source_family,metric_name,metric_value
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,nn,0.033729299902915955
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,centroid_loo,0.025859028100967407
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,medoid_dist,0.027447834610939026
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,remote_clique,0.03841513395309448
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,span90,0.01585608720779419
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,mst_dispersion,0.03525427977244059
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,sparseness,0.014510825276374817
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,human,global_centroid_dist,0.017286136746406555
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,mean_pairwise,0.03791932389140129
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,nn,0.029435157775878906
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,centroid_loo,0.028642912705739338
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,medoid_dist,0.021244307979941368
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,remote_clique,0.03791932389140129
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,span90,0.016241932287812233
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,mst_dispersion,0.03186646103858948
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,sparseness,0.01272068452090025
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,ai_all,global_centroid_dist,0.015490591526031494
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,mean_pairwise,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,nn,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,centroid_loo,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,medoid_dist,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,remote_clique,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,span90,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,mst_dispersion,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,sparseness,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,claude,global_centroid_dist,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,mean_pairwise,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,nn,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,centroid_loo,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,medoid_dist,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,remote_clique,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,span90,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,mst_dispersion,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,sparseness,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gemini,global_centroid_dist,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,mean_pairwise,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,nn,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,centroid_loo,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,medoid_dist,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,remote_clique,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,span90,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,mst_dispersion,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,sparseness,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,gpt,global_centroid_dist,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,mean_pairwise,0.046783190220594406
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,nn,0.038797035813331604
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,centroid_loo,0.031546011567115784
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,medoid_dist,0.03140769898891449
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,remote_clique,0.046783190220594406
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,span90,0.02237709052860737
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,mst_dispersion,0.03989309072494507
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,sparseness,0.017700254917144775
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,human,global_centroid_dist,0.020890280604362488
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,mean_pairwise,0.0589628629386425
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,nn,0.05058090016245842
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,centroid_loo,0.04475035270055135
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,medoid_dist,0.035929758101701736
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,remote_clique,0.0589628629386425
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,span90,0.023603331297636032
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,mst_dispersion,0.053894639015197754
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,sparseness,0.019851207733154297
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,ai_all,global_centroid_dist,0.023047983646392822
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,mean_pairwise,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,nn,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,centroid_loo,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,medoid_dist,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,remote_clique,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,span90,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,mst_dispersion,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,sparseness,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,claude,global_centroid_dist,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,mean_pairwise,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,nn,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,centroid_loo,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,medoid_dist,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,remote_clique,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,span90,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,mst_dispersion,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,sparseness,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gemini,global_centroid_dist,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,mean_pairwise,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,nn,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,centroid_loo,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,medoid_dist,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,remote_clique,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,span90,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,mst_dispersion,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,sparseness,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,gpt,global_centroid_dist,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,mean_pairwise,0.04760291054844856
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,nn,0.038014426827430725
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,human,centroid_loo,0.032110124826431274
