cohort,proposal_key,proposal_uid,proposal_title,source_family,metric_name,metric_value
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,mean_pairwise,0.04709114506840706
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,nn,0.0420956015586853
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,centroid_loo,0.03566124041875204
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,medoid_dist,0.029358884319663048
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,remote_clique,0.04709114506840706
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,span90,0.018040621653199196
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,mst_dispersion,0.044038325548172
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,sparseness,0.01582225225865841
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,global_centroid_dist,0.020856300368905067
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,mean_pairwise,0.035634320229291916
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,nn,0.034610528498888016
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,centroid_loo,0.026926438013712566
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,medoid_dist,0.023120900616049767
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,remote_clique,0.035634320229291916
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,span90,0.012313807383179665
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,mst_dispersion,0.034681349992752075
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,sparseness,0.011949579231441021
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,ai_all,global_centroid_dist,0.016964217647910118
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,mean_pairwise,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,nn,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,centroid_loo,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,medoid_dist,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,remote_clique,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,span90,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,mst_dispersion,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,sparseness,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,claude,global_centroid_dist,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,mean_pairwise,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,nn,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,centroid_loo,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,medoid_dist,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,remote_clique,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,span90,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,mst_dispersion,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,sparseness,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gemini,global_centroid_dist,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,mean_pairwise,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,nn,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,centroid_loo,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,medoid_dist,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,remote_clique,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,span90,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,mst_dispersion,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,sparseness,
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,gpt,global_centroid_dist,
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,mean_pairwise,0.057993192225694656
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,nn,0.04982954263687134
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,centroid_loo,0.04400567213694254
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,medoid_dist,0.03368143364787102
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,remote_clique,0.057993192225694656
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,span90,0.022485315799713135
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,mst_dispersion,0.05052214860916138
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,sparseness,0.019521674141287804
