cohort,proposal_key,proposal_uid,proposal_title,human_mean_pairwise,human_nn,human_centroid_loo,human_medoid_dist,human_remote_clique,human_span90,human_mst_dispersion,human_sparseness,human_global_centroid_dist_vs_ai_all,ai_all_mean_pairwise,ai_all_nn,ai_all_centroid_loo,ai_all_medoid_dist,ai_all_remote_clique,ai_all_span90,ai_all_mst_dispersion,ai_all_sparseness,ai_all_global_centroid_dist_vs_human,claude_mean_pairwise,claude_nn,claude_centroid_loo,claude_medoid_dist,claude_remote_clique,claude_span90,claude_mst_dispersion,claude_sparseness,claude_global_centroid_dist_vs_human,gemini_mean_pairwise,gemini_nn,gemini_centroid_loo,gemini_medoid_dist,gemini_remote_clique,gemini_span90,gemini_mst_dispersion,gemini_sparseness,gemini_global_centroid_dist_vs_human,gpt_mean_pairwise,gpt_nn,gpt_centroid_loo,gpt_medoid_dist,gpt_remote_clique,gpt_span90,gpt_mst_dispersion,gpt_sparseness,gpt_global_centroid_dist_vs_human
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,0.06393414735794067,0.044736236333847046,0.04323935508728027,0.03594517707824707,0.06393414735794067,0.03382662683725357,0.047926902770996094,0.02426980435848236,0.0279352068901062,0.03156580403447151,0.02840677835047245,0.023828705151875813,0.019619425758719444,0.03156580403447151,0.011917734518647194,0.029429137706756592,0.010577996261417866,0.014192323200404644,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_02,human-y1::10,Transposable elements and the emergence of genomic innovation,0.03841513395309448,0.033729299902915955,0.025859028100967407,0.027447834610939026,0.03841513395309448,0.01585608720779419,0.03525427977244059,0.014510825276374817,0.017286136746406555,0.03791932389140129,0.029435157775878906,0.028642912705739338,0.021244307979941368,0.03791932389140129,0.016241932287812233,0.03186646103858948,0.01272068452090025,0.015490591526031494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_03,human-y1::11, Searching the Crosslinking Mass Spectrometry Universe for New Protein-Protein Interactions,0.046783190220594406,0.038797035813331604,0.031546011567115784,0.03140769898891449,0.046783190220594406,0.02237709052860737,0.03989309072494507,0.017700254917144775,0.020890280604362488,0.0589628629386425,0.05058090016245842,0.04475035270055135,0.035929758101701736,0.0589628629386425,0.023603331297636032,0.053894639015197754,0.019851207733154297,0.023047983646392822,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_04,human-y1::12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry based,0.04760291054844856,0.038014426827430725,0.032110124826431274,0.032851919531822205,0.04760291054844856,0.02200212888419628,0.03975429137547811,0.018013328313827515,0.021426483988761902,0.030414322391152382,0.026882926002144814,0.02295263608296712,0.01837168075144291,0.030414322391152382,0.011560904793441296,0.02755752205848694,0.010189930908381939,0.01357595156878233,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,0.03610982373356819,0.03400808572769165,0.027287423610687256,0.022954046726226807,0.03610982373356819,0.01293338555842638,0.03443107008934021,0.012109975330531597,0.015462000854313374,0.02907806634902954,0.026079455390572548,0.021938860416412354,0.0181033406406641,0.02907806634902954,0.011039221659302711,0.027155011892318726,0.009740193374454975,0.013084213249385357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_06,human-y1::3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,0.03403462842106819,0.030135884881019592,0.022883564233779907,0.023746386170387268,0.03403462842106819,0.014588773250579834,0.031083424886067707,0.012845516204833984,0.016479387879371643,0.033675868064165115,0.031586844474077225,0.025434374809265137,0.021672507748007774,0.033675868064165115,0.012241875752806664,0.03250876069068909,0.01128890085965395,0.014917115680873394,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_07,human-y1::4,Synthesizing gene expression data to create an atlas of bacterial cell states,0.02823667787015438,0.024686485528945923,0.01895679533481598,0.018938720226287842,0.02823667787015438,0.01239748578518629,0.024975816408793133,0.010645627975463867,0.013774245977401733,0.038769323378801346,0.036935627460479736,0.029314100742340088,0.024945378303527832,0.038769323378801346,0.01375733595341444,0.03741806745529175,0.013007660396397114,0.01614401675760746,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_08,human-y1::5,Energetic Origins of Connectivity within Protein Interaction Networks,0.05057235434651375,0.03913569450378418,0.03414212167263031,0.03378279507160187,0.05057235434651375,0.022562747821211815,0.04280008872350057,0.019147872924804688,0.02411031723022461,0.0306130051612854,0.027718981727957726,0.023104747136433918,0.01895805262029171,0.0306130051612854,0.011424863710999489,0.02843707799911499,0.010256667621433735,0.015174448490142822,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_09,human-y1::6,Elucidating emergent structures in cellular RNA-protein interaction networks,0.03806314989924431,0.03330963850021362,0.025616765022277832,0.02567240595817566,0.03806314989924431,0.016690688207745552,0.03422987461090088,0.014376893639564514,0.018167778849601746,0.035566408187150955,0.029263297095894814,0.02686011791229248,0.02123991586267948,0.035566408187150955,0.014753878116607666,0.0318598747253418,0.011926651000976562,0.01570814847946167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,Y1_10,human-y1::7,Elucidating the Role of Disordered Proteins in Cellular Adaptation,0.04166201874613762,0.03577476739883423,0.028065726161003113,0.02788296341896057,0.04166201874613762,0.017188245430588722,0.03717094659805298,0.015747234225273132,0.019399940967559814,0.031558435410261154,0.03093443252146244,0.023826102415720623,0.02062900923192501,0.031558435410261154,0.010788047686219215,0.03094351291656494,0.010575194843113422,0.014208972454071045,,,,,,,,,,,,,,,,,,,,,,,,,,,
