group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.4416666666666664,3.4333333333333336,0.405548636996473
human-y2,11,3.742424242424242,3.766666666666666,0.49240699270486255
human-all,23,3.585507246376811,3.6666666666666665,0.4648043019234196
claude-opus-4-5,23,4.0086956521739125,4.033333333333333,0.13454652280315155
gemini-3-pro-preview,23,3.8318840579710134,3.8333333333333335,0.06925159872680724
gpt-5.2,23,4.317391304347825,4.333333333333333,0.054928387922243666
