cohort,pair_type,proposal_key,cosine_similarity
Y2,human-human,Y2_01,0.9617897272109985
Y2,human-human,Y2_01,0.9468034505844116
Y2,human-human,Y2_01,0.9501334428787231
Y2,ai-ai,Y2_01,0.965531051158905
Y2,ai-ai,Y2_01,0.965106189250946
Y2,ai-ai,Y2_01,0.9624596834182739
Y2,human-human,Y2_02,0.9515553712844849
Y2,human-human,Y2_02,0.9473998546600342
Y2,human-human,Y2_02,0.9270646572113037
Y2,ai-ai,Y2_02,0.9732770919799805
Y2,ai-ai,Y2_02,0.9705609083175659
Y2,ai-ai,Y2_02,0.9696210622787476
Y2,human-human,Y2_03,0.962730884552002
Y2,human-human,Y2_03,0.9676569700241089
Y2,human-human,Y2_03,0.9645442962646484
Y2,human-human,Y2_03,0.9655019044876099
Y2,human-human,Y2_03,0.960354745388031
Y2,human-human,Y2_03,0.954166054725647
Y2,ai-ai,Y2_03,0.9693541526794434
Y2,ai-ai,Y2_03,0.9731927514076233
Y2,ai-ai,Y2_03,0.9732677936553955
Y2,human-human,Y2_04,0.9500240087509155
Y2,human-human,Y2_04,0.9589785933494568
Y2,human-human,Y2_04,0.9566397070884705
Y2,ai-ai,Y2_04,0.9709353446960449
Y2,ai-ai,Y2_04,0.9723787307739258
Y2,ai-ai,Y2_04,0.979345977306366
Y2,human-human,Y2_05,0.9544098377227783
Y2,human-human,Y2_05,0.9516109228134155
Y2,human-human,Y2_05,0.9660110473632812
Y2,human-human,Y2_05,0.9573765397071838
Y2,human-human,Y2_05,0.9667971134185791
Y2,human-human,Y2_05,0.9629549980163574
Y2,ai-ai,Y2_05,0.9711707830429077
Y2,ai-ai,Y2_05,0.9776507019996643
Y2,ai-ai,Y2_05,0.9708560109138489
Y2,human-human,Y2_06,0.9293537735939026
Y2,ai-ai,Y2_06,0.9734554290771484
Y2,ai-ai,Y2_06,0.9768339395523071
Y2,ai-ai,Y2_06,0.9774869680404663
Y2,human-human,Y2_07,0.9586496949195862
Y2,human-human,Y2_07,0.9503011107444763
Y2,human-human,Y2_07,0.9792588949203491
Y2,human-human,Y2_07,0.9561859369277954
Y2,human-human,Y2_07,0.9630376100540161
Y2,human-human,Y2_07,0.9632511734962463
Y2,ai-ai,Y2_07,0.9684311151504517
Y2,ai-ai,Y2_07,0.964828610420227
Y2,ai-ai,Y2_07,0.9746138453483582
Y2,human-human,Y2_08,0.9524199962615967
Y2,human-human,Y2_08,0.960898220539093
Y2,human-human,Y2_08,0.9568229913711548
Y2,human-human,Y2_08,0.9515912532806396
Y2,human-human,Y2_08,0.9550570249557495
Y2,human-human,Y2_08,0.9746252298355103
Y2,ai-ai,Y2_08,0.9608269929885864
Y2,ai-ai,Y2_08,0.9723120331764221
Y2,ai-ai,Y2_08,0.9760841131210327
Y2,human-human,Y2_09,0.9297995567321777
Y2,human-human,Y2_09,0.9674795866012573
Y2,human-human,Y2_09,0.9580199122428894
Y2,human-human,Y2_09,0.9435228705406189
Y2,human-human,Y2_09,0.9404414892196655
Y2,human-human,Y2_09,0.9634989500045776
Y2,ai-ai,Y2_09,0.9585174322128296
Y2,ai-ai,Y2_09,0.9723475575447083
Y2,ai-ai,Y2_09,0.9675812125205994
Y2,human-human,Y2_10,0.9323049783706665
Y2,human-human,Y2_10,0.9603389501571655
Y2,human-human,Y2_10,0.9380750060081482
Y2,ai-ai,Y2_10,0.9743614196777344
Y2,ai-ai,Y2_10,0.9747180938720703
Y2,ai-ai,Y2_10,0.9787688255310059
Y2,human-human,Y2_11,0.9738763570785522
Y2,human-human,Y2_11,0.9614933729171753
Y2,human-human,Y2_11,0.9558205604553223
Y2,human-human,Y2_11,0.9614168405532837
Y2,human-human,Y2_11,0.9628564119338989
Y2,human-human,Y2_11,0.9465922117233276
Y2,ai-ai,Y2_11,0.9663550853729248
Y2,ai-ai,Y2_11,0.971461832523346
Y2,ai-ai,Y2_11,0.9748168587684631
