evaluator,count,mean,median,std
gemini-3-pro-preview,92,4.301086956521739,4.3,0.42231558566305827
claude-opus-4-5,92,3.7836956521739133,3.8,0.39704324062492674
gpt-5.2,92,3.722826086956522,3.8,0.34802528039714176
