metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,43.5,0.1754140584864039,-0.3409090909090909,medium,human-y1,human-y2,3.4416666666666664,3.742424242424242,0.19490450942933768
overall_score,12,23,12.5,1.3378697200967416e-05,-0.9094202898550725,large,human-y1,claude-opus-4-5,3.4416666666666664,4.0086956521739125,2.6757394401934832e-05
overall_score,12,23,50.5,0.0020930134412168433,-0.6340579710144928,large,human-y1,gemini-3-pro-preview,3.4416666666666664,3.8318840579710134,0.002990019201738348
overall_score,12,23,0.0,9.149080158196034e-07,-1.0,large,human-y1,gpt-5.2,3.4416666666666664,4.317391304347825,3.049693386065344e-06
overall_score,11,23,89.0,0.17172960846314922,-0.2964426877470356,small,human-y2,claude-opus-4-5,3.742424242424242,4.0086956521739125,0.19490450942933768
overall_score,11,23,107.5,0.4853986933348734,-0.15019762845849802,small,human-y2,gemini-3-pro-preview,3.742424242424242,3.8318840579710134,0.4853986933348734
overall_score,11,23,18.5,3.963205564196428e-05,-0.8537549407114624,large,human-y2,gpt-5.2,3.742424242424242,4.317391304347825,6.605342606994046e-05
overall_score,23,23,461.0,1.2661512572276012e-05,0.7429111531190926,large,claude-opus-4-5,gemini-3-pro-preview,4.0086956521739125,3.8318840579710134,2.6757394401934832e-05
overall_score,23,23,4.5,7.761347107209993e-09,-0.9829867674858223,large,claude-opus-4-5,gpt-5.2,4.0086956521739125,4.317391304347825,3.8806735536049965e-08
overall_score,23,23,0.0,3.369245005267756e-09,-1.0,large,gemini-3-pro-preview,gpt-5.2,3.8318840579710134,4.317391304347825,3.369245005267756e-08
Relevance_to_Emergent_Phenomena,12,11,54.5,0.4904756433792661,-0.17424242424242425,small,human-y1,human-y2,3.527777777777778,4.0,0.7006794905418088
Relevance_to_Emergent_Phenomena,12,23,23.0,5.982680773828842e-07,-0.8333333333333334,large,human-y1,claude-opus-4-5,3.527777777777778,5.0,9.97113462304807e-07
Relevance_to_Emergent_Phenomena,12,23,23.0,5.982680773828842e-07,-0.8333333333333334,large,human-y1,gemini-3-pro-preview,3.527777777777778,5.0,9.97113462304807e-07
Relevance_to_Emergent_Phenomena,12,23,23.0,5.982680773828842e-07,-0.8333333333333334,large,human-y1,gpt-5.2,3.527777777777778,5.0,9.97113462304807e-07
Relevance_to_Emergent_Phenomena,11,23,0.0,2.1036182388302203e-08,-1.0,large,human-y2,claude-opus-4-5,4.0,5.0,7.012060796100734e-08
Relevance_to_Emergent_Phenomena,11,23,0.0,2.1036182388302203e-08,-1.0,large,human-y2,gemini-3-pro-preview,4.0,5.0,7.012060796100734e-08
Relevance_to_Emergent_Phenomena,11,23,0.0,2.1036182388302203e-08,-1.0,large,human-y2,gpt-5.2,4.0,5.0,7.012060796100734e-08
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,claude-opus-4-5,gemini-3-pro-preview,5.0,5.0,1.0
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,claude-opus-4-5,gpt-5.2,5.0,5.0,1.0
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,gemini-3-pro-preview,gpt-5.2,5.0,5.0,1.0
Novelty_and_Significance,12,11,43.5,0.13699760716883697,-0.3409090909090909,medium,human-y1,human-y2,4.0,4.212121212121212,0.1797579827153628
Novelty_and_Significance,12,23,57.5,6.792258256604607e-05,-0.5833333333333334,large,human-y1,claude-opus-4-5,4.0,4.333333333333331,0.00033961291283023034
