cohort,proposal_key,proposal_uid,proposal_title,human_mean_pairwise,human_nn,human_centroid_loo,human_medoid_dist,human_remote_clique,human_span90,human_mst_dispersion,human_sparseness,human_global_centroid_dist_vs_ai_all,ai_all_mean_pairwise,ai_all_nn,ai_all_centroid_loo,ai_all_medoid_dist,ai_all_remote_clique,ai_all_span90,ai_all_mst_dispersion,ai_all_sparseness,ai_all_global_centroid_dist_vs_human,claude_mean_pairwise,claude_nn,claude_centroid_loo,claude_medoid_dist,claude_remote_clique,claude_span90,claude_mst_dispersion,claude_sparseness,claude_global_centroid_dist_vs_human,gemini_mean_pairwise,gemini_nn,gemini_centroid_loo,gemini_medoid_dist,gemini_remote_clique,gemini_span90,gemini_mst_dispersion,gemini_sparseness,gemini_global_centroid_dist_vs_human,gpt_mean_pairwise,gpt_nn,gpt_centroid_loo,gpt_medoid_dist,gpt_remote_clique,gpt_span90,gpt_mst_dispersion,gpt_sparseness,gpt_global_centroid_dist_vs_human
Y2,Y2_01,human-y2::1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,0.04709114506840706,0.0420956015586853,0.03566124041875204,0.029358884319663048,0.04709114506840706,0.018040621653199196,0.044038325548172,0.01582225225865841,0.020856300368905067,0.035634320229291916,0.034610528498888016,0.026926438013712566,0.023120900616049767,0.035634320229291916,0.012313807383179665,0.034681349992752075,0.011949579231441021,0.016964217647910118,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_02,human-y2::10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,0.057993192225694656,0.04982954263687134,0.04400567213694254,0.03368143364787102,0.057993192225694656,0.022485315799713135,0.05052214860916138,0.019521674141287804,0.02464383840560913,0.028846899047493935,0.02762812376022339,0.02176612615585327,0.01872054673731327,0.028846899047493935,0.01019439660012722,0.02808082103729248,0.009662330150604248,0.014733235351741314,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_03,human-y2::11,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,0.037507642060518265,0.03366002440452576,0.02524164319038391,0.026267066597938538,0.037507642060518265,0.01567070372402668,0.03409902254740397,0.014165639877319336,0.018483847379684448,0.028061768040060997,0.02675716020166874,0.021169801553090412,0.017846444621682167,0.028061768040060997,0.009840560145676136,0.026769667863845825,0.009398083202540874,0.013695478439331055,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_04,human-y2::2,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,0.044785816222429276,0.04180097579956055,0.033904572327931724,0.028127172961831093,0.044785816222429276,0.01615760289132595,0.042190760374069214,0.015041828155517578,0.019414624199271202,0.025779923424124718,0.022976377978920937,0.01943679650624593,0.016091743484139442,0.025779923424124718,0.009885513223707676,0.02413761615753174,0.008630434982478619,0.012974818237125874,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_05,human-y2::3,Deciphering systemic biological networks through AI-driven multi-omic integration,0.040139973163604736,0.03435999155044556,0.027028009295463562,0.026059255003929138,0.040139973163604736,0.01709967851638794,0.03474567333857218,0.01516754925251007,0.01932421326637268,0.02677430771291256,0.024509429931640625,0.020191609859466553,0.017059603706002235,0.02677430771291256,0.010017561726272106,0.025589406490325928,0.008965075016021729,0.013095378875732422,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_06,human-y2::4,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,0.07064610719680786,0.07064610719680786,0.0706462562084198,0.03532305359840393,0.07064610719680786,0.017820466309785843,0.07064610719680786,0.017820417881011963,0.026180565357208252,0.024074533954262733,0.022730747237801552,0.018146594365437824,0.015226364135742188,0.024074533954262733,0.008537900634109974,0.02283954620361328,0.008057196624577045,0.016334673389792442,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_07,human-y2::5,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,0.038219254463911057,0.028798386454582214,0.02571694552898407,0.023613080382347107,0.038219254463911057,0.017775535583496094,0.03148410717646281,0.014436453580856323,0.018071293830871582,0.030708730220794678,0.0274469256401062,0.023176809151967365,0.01898493431508541,0.030708730220794678,0.01166524924337864,0.028477400541305542,0.010289053432643414,0.01390854548662901,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_08,human-y2::6,Revealing the Ontology of Allostery through Community-Scale Synthesis,0.04143080115318298,0.03369837999343872,0.027904167771339417,0.028221383690834045,0.04143080115318298,0.019041262567043304,0.03647305568059286,0.015659168362617493,0.02255702018737793,0.03025907278060913,0.025173326954245567,0.022829612096150715,0.017201343551278114,0.03025907278060913,0.012019825167953968,0.025802016258239746,0.010137717239558697,0.016996800899505615,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_09,human-y2::7,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,0.04953954741358757,0.03950473666191101,0.03341461718082428,0.03137461841106415,0.04953954741358757,0.02516249194741249,0.04183282454808553,0.018753141164779663,0.022932708263397217,0.03385120630264282,0.02924114465713501,0.025562246640523274,0.020023683086037636,0.03385120630264282,0.013116717338562012,0.03003552556037903,0.011348187923431396,0.015496253967285156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,Y2_10,human-y2::8,A Unified Framework for Analyses of Proteome Turnover Dynamics,0.05642696097493172,0.04708224534988403,0.04279496272404989,0.033861976116895676,0.05642696097493172,0.023173367604613304,0.050792962312698364,0.018989384174346924,0.021412214264273643,0.024050572887063026,0.022581517696380615,0.018128355344136555,0.015504419803619385,0.024050572887063026,0.008724582381546497,0.023256629705429077,0.008049448020756245,0.010445713996887207,,,,,,,,,,,,,,,,,,,,,,,,,,,
