condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
one_at_a_time,reviews,original,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,890.0,0.8560735223572833,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,887.0,0.8484484432547079,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,730.5,0.2438796537239744,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,747.0,0.5976039538447769,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,785.0,0.46270617247754303,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
