group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.505555555555555,3.5,0.4101818599708651
human-y2,11,3.809090909090909,3.8666666666666667,0.3829972175967715
human-all,23,3.6507246376811593,3.733333333333333,0.41813312427732674
claude-opus-4-5,23,3.502898550724637,3.3000000000000003,0.5592123829460756
gemini-3-pro-preview,23,4.115942028985507,4.2,0.3779088614966793
gpt-5.2,23,4.389855072463767,4.3999999999999995,0.051673785050878704
