metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,36.5,0.07314524132986305,-0.44696969696969696,medium,human-y1,human-y2,4.075,4.3909090909090915,0.0812724903665145
overall_score,12,23,185.5,0.099889389731947,0.3442028985507246,medium,human-y1,claude-opus-4-5,4.075,3.5782608695652165,0.099889389731947
overall_score,12,23,25.0,3.194124868800715e-05,-0.8188405797101449,large,human-y1,gemini-3-pro-preview,4.075,4.66086956521739,7.985312172001788e-05
overall_score,12,23,10.0,5.521286079406013e-07,-0.927536231884058,large,human-y1,gpt-5.2,4.075,4.8260869565217375,5.115654823118624e-06
overall_score,11,23,178.5,0.05599267386716312,0.41106719367588934,medium,human-y2,claude-opus-4-5,4.3909090909090915,3.5782608695652165,0.0699908423339539
overall_score,11,23,37.0,0.00044061179134825834,-0.7075098814229249,large,human-y2,gemini-3-pro-preview,4.3909090909090915,4.66086956521739,0.0007343529855804305
overall_score,11,23,10.0,1.0231309646237247e-06,-0.9209486166007905,large,human-y2,gpt-5.2,4.3909090909090915,4.8260869565217375,5.115654823118624e-06
overall_score,23,23,114.0,0.0004228318740290763,-0.5689981096408318,large,claude-opus-4-5,gemini-3-pro-preview,3.5782608695652165,4.66086956521739,0.0007343529855804305
overall_score,23,23,70.0,1.8033840686995099e-06,-0.7353497164461248,large,claude-opus-4-5,gpt-5.2,3.5782608695652165,4.8260869565217375,6.011280228998366e-06
overall_score,23,23,181.5,0.011922148640594453,-0.31379962192816635,small,gemini-3-pro-preview,gpt-5.2,4.66086956521739,4.8260869565217375,0.017031640915134934
Relevance_to_Emergent_Phenomena,12,11,52.5,0.3906198039809565,-0.20454545454545456,small,human-y1,human-y2,3.9166666666666665,4.363636363636363,0.5580282914013664
Relevance_to_Emergent_Phenomena,12,23,57.5,6.825068662808866e-05,-0.5833333333333334,large,human-y1,claude-opus-4-5,3.9166666666666665,5.0,0.00022750228876029552
Relevance_to_Emergent_Phenomena,12,23,57.5,6.825068662808866e-05,-0.5833333333333334,large,human-y1,gemini-3-pro-preview,3.9166666666666665,5.0,0.00022750228876029552
Relevance_to_Emergent_Phenomena,12,23,57.5,6.825068662808866e-05,-0.5833333333333334,large,human-y1,gpt-5.2,3.9166666666666665,5.0,0.00022750228876029552
Relevance_to_Emergent_Phenomena,11,23,69.0,0.0006525181343746625,-0.45454545454545453,medium,human-y2,claude-opus-4-5,4.363636363636363,5.0,0.0010875302239577707
Relevance_to_Emergent_Phenomena,11,23,69.0,0.0006525181343746625,-0.45454545454545453,medium,human-y2,gemini-3-pro-preview,4.363636363636363,5.0,0.0010875302239577707
Relevance_to_Emergent_Phenomena,11,23,69.0,0.0006525181343746625,-0.45454545454545453,medium,human-y2,gpt-5.2,4.363636363636363,5.0,0.0010875302239577707
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,claude-opus-4-5,gemini-3-pro-preview,5.0,5.0,1.0
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,claude-opus-4-5,gpt-5.2,5.0,5.0,1.0
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,gemini-3-pro-preview,gpt-5.2,5.0,5.0,1.0
Novelty_and_Significance,12,11,66.0,1.0,0.0,negligible,human-y1,human-y2,4.166666666666667,4.181818181818182,1.0
Novelty_and_Significance,12,23,136.0,0.9523122779738978,-0.014492753623188406,negligible,human-y1,claude-opus-4-5,4.166666666666667,4.173913043478261,1.0
