metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,wilcoxon_stat,wilcoxon_p_value,n_paired_proposals,q_value
cosine_similarity,12,12,51.0,0.23658409332187624,-0.2916666666666667,small,human-ai,human-human,19.0,0.12939453125,12,0.23658409332187624
cosine_similarity,12,12,114.0,0.01657492674985327,0.5833333333333334,large,ai-ai,human-human,9.0,0.01611328125,12,0.024862390124779907
cosine_similarity,12,12,139.0,0.00012334575440397442,0.9305555555555556,large,ai-ai,human-ai,0.0,0.00048828125,12,0.00037003726321192327
sentiment_alignment,12,12,78.0,0.7508318840891169,0.08333333333333333,negligible,human-ai,human-human,31.0,0.5693359375,12,0.7508318840891169
sentiment_alignment,12,12,97.0,0.1572127533400038,0.3472222222222222,medium,ai-ai,human-human,24.0,0.26611328125,12,0.2358191300100057
sentiment_alignment,12,12,100.0,0.11235119769046394,0.3888888888888889,medium,ai-ai,human-ai,22.0,0.20361328125,12,0.2358191300100057
categorical_agreement_num,12,12,78.0,0.7371017964331977,0.08333333333333333,negligible,human-ai,human-human,5.0,0.6875,12,0.7371017964331977
categorical_agreement_num,12,12,93.0,0.15575565558416463,0.2916666666666667,small,ai-ai,human-human,6.5,0.25,12,0.23363348337624695
categorical_agreement_num,12,12,96.0,0.11814773602424077,0.3333333333333333,medium,ai-ai,human-ai,7.0,0.3125,12,0.23363348337624695
