metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,ai_model,q_value
cosine_similarity,7,7,22.0,0.8047785547785549,-0.10204081632653061,negligible,human-ai::claude-opus-4-5,human-human,claude-opus-4-5,0.8047785547785549
cosine_similarity,7,7,16.0,0.31759906759906764,-0.3469387755102041,medium,human-ai::gemini-3-pro-preview,human-human,gemini-3-pro-preview,0.47639860139860146
cosine_similarity,7,7,12.0,0.12820512820512822,-0.5102040816326531,large,human-ai::gpt-5.2,human-human,gpt-5.2,0.3846153846153847
sentiment_alignment,7,7,25.0,1.0,0.02040816326530612,negligible,human-ai::claude-opus-4-5,human-human,claude-opus-4-5,1.0
sentiment_alignment,7,7,13.0,0.16491841491841494,-0.46938775510204084,medium,human-ai::gemini-3-pro-preview,human-human,gemini-3-pro-preview,0.4947552447552448
sentiment_alignment,7,7,27.0,0.8047785547785549,0.10204081632653061,negligible,human-ai::gpt-5.2,human-human,gpt-5.2,1.0
categorical_agreement_num,7,7,21.0,0.6933509161268525,-0.14285714285714285,negligible,human-ai::claude-opus-4-5,human-human,claude-opus-4-5,1.0
categorical_agreement_num,7,7,21.0,0.6933509161268525,-0.14285714285714285,negligible,human-ai::gemini-3-pro-preview,human-human,gemini-3-pro-preview,1.0
categorical_agreement_num,7,7,25.0,1.0,0.02040816326530612,negligible,human-ai::gpt-5.2,human-human,gpt-5.2,1.0
