group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.3138888888888887,3.4000000000000004,0.37158093408084136
human-y2,11,3.481818181818181,3.5666666666666664,0.3670796572237078
human-all,23,3.3942028985507244,3.5666666666666664,0.37100085408067496
claude-opus-4-5,23,3.960869565217392,4.0,0.18820045564867294
gemini-3-pro-preview,23,3.936231884057971,4.033333333333333,0.36444409631826724
gpt-5.2,23,4.128985507246377,4.133333333333334,0.09282564726687252
