metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,ai_model_pair,q_value
cosine_similarity,7,7,49.0,0.0005827505827505828,1.0,large,ai-ai::claude-opus-4-5 vs gemini-3-pro-preview,human-human,claude-opus-4-5 vs gemini-3-pro-preview,0.0017482517482517483
cosine_similarity,7,7,45.0,0.006993006993006993,0.8367346938775511,large,ai-ai::claude-opus-4-5 vs gpt-5.2,human-human,claude-opus-4-5 vs gpt-5.2,0.01048951048951049
cosine_similarity,7,7,26.0,0.9015151515151516,0.061224489795918366,negligible,ai-ai::gemini-3-pro-preview vs gpt-5.2,human-human,gemini-3-pro-preview vs gpt-5.2,0.9015151515151517
sentiment_alignment,7,7,34.0,0.25932400932400934,0.3877551020408163,medium,ai-ai::claude-opus-4-5 vs gemini-3-pro-preview,human-human,claude-opus-4-5 vs gemini-3-pro-preview,0.388986013986014
sentiment_alignment,7,7,39.0,0.07284382284382285,0.5918367346938775,large,ai-ai::claude-opus-4-5 vs gpt-5.2,human-human,claude-opus-4-5 vs gpt-5.2,0.21853146853146854
sentiment_alignment,7,7,26.0,0.9015151515151516,0.061224489795918366,negligible,ai-ai::gemini-3-pro-preview vs gpt-5.2,human-human,gemini-3-pro-preview vs gpt-5.2,0.9015151515151517
categorical_agreement_num,7,7,38.5,0.03043367390068049,0.5714285714285714,large,ai-ai::claude-opus-4-5 vs gemini-3-pro-preview,human-human,claude-opus-4-5 vs gemini-3-pro-preview,0.09130102170204146
categorical_agreement_num,7,7,33.0,0.23283821574223285,0.3469387755102041,medium,ai-ai::claude-opus-4-5 vs gpt-5.2,human-human,claude-opus-4-5 vs gpt-5.2,0.23283821574223285
categorical_agreement_num,7,7,33.0,0.23283821574223285,0.3469387755102041,medium,ai-ai::gemini-3-pro-preview vs gpt-5.2,human-human,gemini-3-pro-preview vs gpt-5.2,0.23283821574223285
