condition,task,text_version,field,comparison,facet,metric,is_primary,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_sub,parity_ref,notes,ratio,log2ratio,z_generation,delta_filtering_aligned
baseline,proposals,rephrased,whole,human_vs_claude,dimensionality,participation_ratio,True,,1.7704070953838629,1.734601523600366,0.0358055717834966,diff,1.6785004885299426,1.842849858592312,1.7133183113671713,1.7892900883027878,permutation,0.0358055717834966,0.8201179882011799,,23.0,23.0,10000.0,1.0,,0.9797755149779642,-0.02947685640116636,-0.0546535161714902,-0.2727272727272727
baseline,proposals,rephrased,whole,human_vs_claude,dimensionality,effective_rank,False,,3.501290032748188,3.2674618144098075,0.2338282183383806,diff,3.128173823962461,3.5102839036584093,3.3077862650788012,3.5099323884581257,permutation,0.2338282183383806,0.5549445055494451,0.7219941271179005,23.0,23.0,10000.0,1.0,,0.9332165527130447,-0.09971619786825696,,
baseline,proposals,rephrased,whole,human_vs_claude,evenness,ripley_excess,True,r=pooled_q01_q50,-0.1405678855168149,0.1768654576363912,0.1768654576363912,envelope_area,,,,,global_envelope,6.639683161422301,0.01,,23.0,23.0,999.0,1.0,AI excess short-range mass vs pooled-cloud null (M=999); human excess = -0.1406 (env p = 0.038); simultaneous envelope,-1.2582209441802719,,-2.854081644542019,1.0
baseline,proposals,rephrased,whole,human_vs_gemini,spread,mean_pairwise,True,,0.4155695849880353,0.3051833968232646,1.3617044351488643,ratio,0.2714602447615987,0.3148524560218,0.4012087063942636,0.4244026554443236,permutation,0.1103861881647707,0.2548745125487451,,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7343737555578115,-0.4454135930571306,-0.3558894528653594,0.9130434782608696
baseline,proposals,rephrased,whole,human_vs_gemini,spread,centroid_loo,False,,0.6401212825939969,0.4907377944408018,1.3044059166533493,ratio,0.4488657823781941,0.503566478028485,0.6227398863258421,0.6518210076306633,permutation,0.1493834881531951,0.2021797820217978,0.3763200322303536,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7666325238432308,-0.38339289013269157,,
baseline,proposals,rephrased,whole,human_vs_gemini,spread,mst_dispersion,False,,0.1100744023764908,0.0932913715149961,1.179899068787909,ratio,0.0875386989097717,0.0969585423216543,0.1054820941092839,0.1145076918035611,permutation,0.0167830308614946,0.3360663933606639,0.5193753351937532,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.8475301205443643,-0.23866345349643353,,
baseline,proposals,rephrased,whole,human_vs_gemini,spread,sparseness,False,,0.3227153705432489,0.2030024617881772,1.5897116108866998,ratio,0.1773233364441425,0.2113547871382955,0.3019843408641747,0.3364886241253028,permutation,0.1197129087550717,0.2824717528247175,0.4647115933567934,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6290449117637293,-0.6687650703651269,,
baseline,proposals,rephrased,whole,human_vs_gemini,spread,nn_isolation,False,,0.0819824697359005,0.0653305860611281,1.254886488530682,ratio,0.0583569338330209,0.0677905393563946,0.076321996724449,0.0850806649798761,permutation,0.0166518836747724,0.3125687431256874,0.5012894936921403,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7968848251532917,-0.3275568702794265,,
baseline,proposals,rephrased,whole,human_vs_gemini,spread,spherical_variance,False,,0.2237921297503281,0.1585218680697175,1.4117429505177472,ratio,0.1392568751817459,0.1636633344086475,0.2144889596804984,0.2287099285508197,permutation,0.0652702616806105,0.256974302569743,0.4300893911283521,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7083442489535764,-0.4974774272969049,,
baseline,proposals,rephrased,whole,human_vs_gemini,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,22.0,22.0,22.0,22.0,permutation,0.0,1.0,1.0,23.0,23.0,10000.0,1.0,,1.0,0.0,,
