condition,task,text_version,field,comparison,stat,value
persona,reviews,original,whole,human_vs_claude,ai_to_nearest_human_median,0.038268645022176195
persona,reviews,original,whole,human_vs_claude,ai_to_nearest_human_q90,0.047918857848785135
persona,reviews,original,whole,human_vs_claude,human_to_nearest_human_median,0.024796121217195766
persona,reviews,original,whole,human_vs_claude,human_to_nearest_human_q90,0.03799665383136744
persona,reviews,original,whole,human_vs_claude,human_to_nearest_ai_median,0.041241112517189205
persona,reviews,original,whole,human_vs_claude,human_to_nearest_ai_q90,0.057039659604511565
persona,reviews,original,whole,human_vs_claude,share_human_fringe,0.6823529411764706
persona,reviews,original,whole,human_vs_claude,share_ai_pocket,0.5217391304347826
persona,reviews,original,whole,human_vs_claude,n_ai,115.0
persona,reviews,original,whole,human_vs_claude,n_human,85.0
persona,reviews,original,whole,human_vs_gemini,ai_to_nearest_human_median,0.039010352338184506
persona,reviews,original,whole,human_vs_gemini,ai_to_nearest_human_q90,0.05610082981095715
persona,reviews,original,whole,human_vs_gemini,human_to_nearest_human_median,0.024796121217195766
persona,reviews,original,whole,human_vs_gemini,human_to_nearest_human_q90,0.03799665383136744
persona,reviews,original,whole,human_vs_gemini,human_to_nearest_ai_median,0.04995635474932847
persona,reviews,original,whole,human_vs_gemini,human_to_nearest_ai_q90,0.06857286345976622
persona,reviews,original,whole,human_vs_gemini,share_human_fringe,0.7529411764705882
persona,reviews,original,whole,human_vs_gemini,share_ai_pocket,0.5304347826086957
persona,reviews,original,whole,human_vs_gemini,n_ai,115.0
persona,reviews,original,whole,human_vs_gemini,n_human,85.0
persona,reviews,original,whole,human_vs_gpt,ai_to_nearest_human_median,0.03491932716075552
persona,reviews,original,whole,human_vs_gpt,ai_to_nearest_human_q90,0.047450514413864275
persona,reviews,original,whole,human_vs_gpt,human_to_nearest_human_median,0.024796121217195766
persona,reviews,original,whole,human_vs_gpt,human_to_nearest_human_q90,0.03799665383136744
persona,reviews,original,whole,human_vs_gpt,human_to_nearest_ai_median,0.04337768606788339
persona,reviews,original,whole,human_vs_gpt,human_to_nearest_ai_q90,0.05988542997492142
persona,reviews,original,whole,human_vs_gpt,share_human_fringe,0.6588235294117647
persona,reviews,original,whole,human_vs_gpt,share_ai_pocket,0.3565217391304348
persona,reviews,original,whole,human_vs_gpt,n_ai,115.0
persona,reviews,original,whole,human_vs_gpt,n_human,85.0
persona,reviews,original,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.0371309664430266
persona,reviews,original,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.050686924469343045
persona,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.024796121217195766
persona,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.03799665383136744
persona,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.039010352338184506
persona,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.05308157872357189
persona,reviews,original,whole,human_vs_pooled_ai,share_human_fringe,0.5764705882352941
persona,reviews,original,whole,human_vs_pooled_ai,share_ai_pocket,0.46956521739130436
persona,reviews,original,whole,human_vs_pooled_ai,n_ai,345.0
persona,reviews,original,whole,human_vs_pooled_ai,n_human,85.0
