condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
persona,reviews,original,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,956.0,0.9632539316633126,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,931.0,0.9350395938666413,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,810.5,0.5742624620556646,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,692.0,0.3445238601221403,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,764.0,0.37262433322135746,0.9985552999846838,False,"JT over paired Human-AI differences by model, alternative = decreasing"
