condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
baseline,claude,Claude,mean_pairwise,sparseness,0.9762845849802372,1.947170275798853e-15,23,strengths
baseline,claude,Claude,medoid_dist,mst_dispersion,0.9604743083003953,3.8781974119233065e-13,23,strengths
baseline,claude,Claude,medoid_dist,remote_clique,0.9446640316205533,1.2376027906403914e-11,23,strengths
baseline,claude,Claude,medoid_dist,span90,0.8507905138339922,2.6977559195331056e-07,23,strengths
baseline,claude,Claude,medoid_dist,sparseness,0.9446640316205533,1.2376027906403914e-11,23,strengths
baseline,claude,Claude,mst_dispersion,remote_clique,0.9357707509881423,5.688650095028583e-11,23,strengths
baseline,claude,Claude,mst_dispersion,sparseness,0.9021739130434783,4.055548807322043e-09,23,strengths
baseline,claude,Claude,nn,centroid_loo,0.8903162055335968,1.277638185271966e-08,23,strengths
baseline,claude,Claude,nn,global_centroid_dist,0.83399209486166,7.648751747090473e-07,23,strengths
baseline,claude,Claude,nn,medoid_dist,0.9130434782608695,1.2366809696599139e-09,23,strengths
baseline,claude,Claude,nn,mst_dispersion,0.9733201581027668,6.620049324533835e-15,23,strengths
baseline,claude,Claude,nn,remote_clique,0.8784584980237155,3.5565910113438074e-08,23,strengths
baseline,claude,Claude,nn,span90,0.7144268774703557,0.0001283335428713042,23,strengths
baseline,claude,Claude,nn,sparseness,0.83399209486166,7.648751747090473e-07,23,strengths
baseline,claude,Claude,span90,mst_dispersion,0.8023715415019764,4.112846982131555e-06,23,strengths
baseline,claude,Claude,span90,remote_clique,0.9219367588932808,4.146041386732718e-10,23,strengths
baseline,claude,Claude,span90,sparseness,0.9624505928853755,2.2830334775646334e-13,23,strengths
baseline,claude,Claude,sparseness,remote_clique,0.9762845849802372,1.947170275798853e-15,23,strengths
baseline,gemini,Gemini,centroid_loo,global_centroid_dist,0.9644268774703558,1.3053953287267002e-13,23,strengths
baseline,gemini,Gemini,centroid_loo,medoid_dist,0.9011857707509882,4.48681122881196e-09,23,strengths
baseline,gemini,Gemini,centroid_loo,mst_dispersion,0.9288537549407114,1.6143421649494893e-10,23,strengths
baseline,gemini,Gemini,centroid_loo,remote_clique,0.9891304347826088,5.704063065422532e-19,23,strengths
baseline,gemini,Gemini,centroid_loo,span90,0.7994071146245059,4.741766147891514e-06,23,strengths
baseline,gemini,Gemini,centroid_loo,sparseness,0.9644268774703558,1.3053953287267002e-13,23,strengths
baseline,gemini,Gemini,global_centroid_dist,medoid_dist,0.9426877470355731,1.7733200161440015e-11,23,strengths
baseline,gemini,Gemini,global_centroid_dist,mst_dispersion,0.9426877470355731,1.7733200161440015e-11,23,strengths
baseline,gemini,Gemini,global_centroid_dist,remote_clique,0.9871541501976285,3.2675709718963424e-18,23,strengths
baseline,gemini,Gemini,global_centroid_dist,span90,0.8626482213438734,1.194476145665706e-07,23,strengths
baseline,gemini,Gemini,global_centroid_dist,sparseness,1.0,0.0,23,strengths
baseline,gemini,Gemini,mean_pairwise,centroid_loo,0.9891304347826088,5.704063065422532e-19,23,strengths
baseline,gemini,Gemini,mean_pairwise,global_centroid_dist,0.9871541501976285,3.2675709718963424e-18,23,strengths
baseline,gemini,Gemini,mean_pairwise,medoid_dist,0.9199604743083004,5.343059876817408e-10,23,strengths
baseline,gemini,Gemini,mean_pairwise,mst_dispersion,0.9367588932806324,4.855363761083324e-11,23,strengths
baseline,gemini,Gemini,mean_pairwise,nn,0.9051383399209486,2.9754306887885376e-09,23,strengths
baseline,gemini,Gemini,mean_pairwise,remote_clique,1.0,0.0,23,strengths
baseline,gemini,Gemini,mean_pairwise,span90,0.8389328063241107,5.699156455047601e-07,23,strengths
baseline,gemini,Gemini,mean_pairwise,sparseness,0.9871541501976285,3.2675709718963424e-18,23,strengths
baseline,gemini,Gemini,medoid_dist,mst_dispersion,0.9861660079051384,7.084225362889057e-18,23,strengths
baseline,gemini,Gemini,medoid_dist,remote_clique,0.9199604743083004,5.343059876817408e-10,23,strengths
baseline,gemini,Gemini,medoid_dist,span90,0.7598814229249011,2.5943354292582745e-05,23,strengths
baseline,gemini,Gemini,medoid_dist,sparseness,0.9426877470355731,1.7733200161440015e-11,23,strengths
baseline,gemini,Gemini,mst_dispersion,remote_clique,0.9367588932806324,4.855363761083324e-11,23,strengths
baseline,gemini,Gemini,mst_dispersion,sparseness,0.9426877470355731,1.7733200161440015e-11,23,strengths
baseline,gemini,Gemini,nn,centroid_loo,0.9090909090909092,1.937423986061789e-09,23,strengths
baseline,gemini,Gemini,nn,global_centroid_dist,0.892292490118577,1.0651168391238102e-08,23,strengths
