condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
baseline,all_ai,All AI,centroid_loo,global_centroid_dist,0.8685770750988143,7.723352767542854e-08,23,whole_review
baseline,all_ai,All AI,centroid_loo,medoid_dist,0.8853754940711462,1.984058663849598e-08,23,whole_review
baseline,all_ai,All AI,centroid_loo,mst_dispersion,0.9426877470355731,1.7733200161440015e-11,23,whole_review
baseline,all_ai,All AI,centroid_loo,remote_clique,0.933794466403162,7.751322266758986e-11,23,whole_review
baseline,all_ai,All AI,centroid_loo,span90,0.766798418972332,1.9733598531608674e-05,23,whole_review
baseline,all_ai,All AI,centroid_loo,sparseness,0.8685770750988143,7.723352767542854e-08,23,whole_review
baseline,all_ai,All AI,global_centroid_dist,medoid_dist,0.9535573122529646,2.045296157918174e-12,23,whole_review
baseline,all_ai,All AI,global_centroid_dist,mst_dispersion,0.8636363636363636,1.1123161784623159e-07,23,whole_review
baseline,all_ai,All AI,global_centroid_dist,remote_clique,0.9841897233201581,2.854051190493887e-17,23,whole_review
baseline,all_ai,All AI,global_centroid_dist,span90,0.9367588932806324,4.855363761083324e-11,23,whole_review
baseline,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23,whole_review
baseline,all_ai,All AI,mean_pairwise,centroid_loo,0.933794466403162,7.751322266758986e-11,23,whole_review
baseline,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9841897233201581,2.854051190493887e-17,23,whole_review
baseline,all_ai,All AI,mean_pairwise,medoid_dist,0.958498023715415,6.416966974193458e-13,23,whole_review
baseline,all_ai,All AI,mean_pairwise,mst_dispersion,0.9150197628458498,9.801372424338925e-10,23,whole_review
baseline,all_ai,All AI,mean_pairwise,nn,0.8448616600790515,3.951436137199726e-07,23,whole_review
baseline,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23,whole_review
baseline,all_ai,All AI,mean_pairwise,span90,0.8982213438735178,6.038049993112349e-09,23,whole_review
baseline,all_ai,All AI,mean_pairwise,sparseness,0.9841897233201581,2.854051190493887e-17,23,whole_review
baseline,all_ai,All AI,medoid_dist,mst_dispersion,0.9525691699604744,2.5401685638882054e-12,23,whole_review
baseline,all_ai,All AI,medoid_dist,remote_clique,0.958498023715415,6.416966974193458e-13,23,whole_review
baseline,all_ai,All AI,medoid_dist,span90,0.824110671936759,1.3402660398674293e-06,23,whole_review
baseline,all_ai,All AI,medoid_dist,sparseness,0.9535573122529646,2.045296157918174e-12,23,whole_review
baseline,all_ai,All AI,mst_dispersion,remote_clique,0.9150197628458498,9.801372424338925e-10,23,whole_review
baseline,all_ai,All AI,mst_dispersion,sparseness,0.8636363636363636,1.1123161784623159e-07,23,whole_review
baseline,all_ai,All AI,nn,centroid_loo,0.9120553359683794,1.3862822602287868e-09,23,whole_review
baseline,all_ai,All AI,nn,global_centroid_dist,0.7796442687747036,1.1576641798913716e-05,23,whole_review
baseline,all_ai,All AI,nn,medoid_dist,0.9051383399209486,2.9754306887885376e-09,23,whole_review
baseline,all_ai,All AI,nn,mst_dispersion,0.9802371541501977,2.920890307948633e-16,23,whole_review
baseline,all_ai,All AI,nn,remote_clique,0.8448616600790515,3.951436137199726e-07,23,whole_review
baseline,all_ai,All AI,nn,span90,0.608695652173913,0.002054663291502055,23,whole_review
baseline,all_ai,All AI,nn,sparseness,0.7796442687747036,1.1576641798913716e-05,23,whole_review
baseline,all_ai,All AI,span90,mst_dispersion,0.7124505928853756,0.00013663384795358546,23,whole_review
baseline,all_ai,All AI,span90,remote_clique,0.8982213438735178,6.038049993112349e-09,23,whole_review
baseline,all_ai,All AI,span90,sparseness,0.9367588932806324,4.855363761083324e-11,23,whole_review
baseline,all_ai,All AI,sparseness,remote_clique,0.9841897233201581,2.854051190493887e-17,23,whole_review
baseline,claude,Claude,centroid_loo,global_centroid_dist,0.849802371541502,2.878161996176266e-07,23,whole_review
baseline,claude,Claude,centroid_loo,medoid_dist,0.8656126482213439,9.62953486908483e-08,23,whole_review
baseline,claude,Claude,centroid_loo,mst_dispersion,0.9496047430830039,4.738207317241129e-12,23,whole_review
baseline,claude,Claude,centroid_loo,remote_clique,0.9693675889328063,2.7752536222287567e-14,23,whole_review
baseline,claude,Claude,centroid_loo,span90,0.733201581027668,6.890212328185201e-05,23,whole_review
baseline,claude,Claude,centroid_loo,sparseness,0.849802371541502,2.878161996176266e-07,23,whole_review
baseline,claude,Claude,global_centroid_dist,medoid_dist,0.9071146245059288,2.4066965518574098e-09,23,whole_review
baseline,claude,Claude,global_centroid_dist,mst_dispersion,0.8507905138339922,2.6977559195331056e-07,23,whole_review
baseline,claude,Claude,global_centroid_dist,remote_clique,0.9387351778656127,3.5096875332960365e-11,23,whole_review
baseline,claude,Claude,global_centroid_dist,span90,0.9031620553359685,3.66180597763012e-09,23,whole_review
baseline,claude,Claude,global_centroid_dist,sparseness,1.0,0.0,23,whole_review
baseline,claude,Claude,mean_pairwise,centroid_loo,0.9693675889328063,2.7752536222287567e-14,23,whole_review
