group_1,group_2,chamfer_distance
Human,Claude,0.06839900463819504
Human,Gemini,0.07480672746896744
Human,GPT,0.06680802255868912
Claude,Gemini,0.04717902094125748
Claude,GPT,0.04069751501083374
Gemini,GPT,0.03534175828099251
