proposal_uid,source_group,char_len,word_count,sentence_count,avg_sentence_len,type_token_ratio,comma_rate,digit_rate,uppercase_rate
y1::1,Human,1853,247,13,19.0,0.6720647773279352,0.0,0.0,0.007555315704263357
y1::10,Human,1885,243,13,18.692307692307693,0.6090534979423868,0.0,0.0,0.01909814323607427
y1::11,Human,1811,240,14,17.142857142857142,0.5958333333333333,0.0,0.0011043622308117063,0.024295969077857537
y1::12,Human,1805,249,13,19.153846153846153,0.6144578313253012,0.0,0.0,0.023822714681440444
y1::2,Human,1689,234,12,19.5,0.6282051282051282,0.0,0.0,0.017169923031379514
y1::3,Human,1887,256,13,19.692307692307693,0.61328125,0.0,0.0,0.03073661897191309
y1::4,Human,1910,251,13,19.307692307692307,0.6414342629482072,0.0,0.0,0.02198952879581152
y1::5,Human,1999,251,13,19.307692307692307,0.6175298804780877,0.0,0.0,0.01150575287643822
y1::6,Human,1832,257,13,19.76923076923077,0.6186770428015564,0.0,0.0032751091703056767,0.025109170305676855
y1::7,Human,1841,240,13,18.46153846153846,0.6125,0.0,0.0005431830526887561,0.017925040738728953
y1::8,Human,1798,235,13,18.076923076923077,0.5617021276595745,0.0,0.0,0.021690767519466074
y1::9,Human,1948,250,13,19.23076923076923,0.7,0.0,0.0,0.02053388090349076
y2::1,Human,1837,238,13,18.307692307692307,0.6596638655462185,0.0,0.0,0.0130647795318454
y2::10,Human,2076,259,13,19.923076923076923,0.6061776061776062,0.0,0.0009633911368015414,0.01348747591522158
y2::11,Human,1648,218,12,18.166666666666668,0.6192660550458715,0.0,0.0048543689320388345,0.01516990291262136
y2::2,Human,1822,236,14,16.857142857142858,0.6313559322033898,0.0,0.0021953896816684962,0.013721185510428101
y2::3,Human,1844,235,13,18.076923076923077,0.6851063829787234,0.0,0.0,0.010845986984815618
y2::4,Human,1977,244,13,18.76923076923077,0.6721311475409836,0.0,0.0,0.01618614061709661
y2::5,Human,1772,234,13,18.0,0.6153846153846154,0.0,0.0,0.012979683972911963
y2::6,Human,1669,230,12,19.166666666666668,0.6217391304347826,0.0,0.0,0.018573996405032954
y2::7,Human,1851,234,13,18.0,0.6495726495726496,0.0,0.0,0.011885467314964884
y2::8,Human,2062,254,13,19.53846153846154,0.65748031496063,0.0,0.00048496605237633366,0.015033947623666343
y2::9,Human,1730,234,13,18.0,0.6538461538461539,0.0,0.0,0.015028901734104046
one_at_a_time::claude-sonnet-5::01,Claude,1953,254,13,19.53846153846154,0.6692913385826772,0.0,0.0,0.01638504864311316
one_at_a_time::claude-sonnet-5::02,Claude,2018,251,13,19.307692307692307,0.7370517928286853,0.0,0.0,0.015361744301288404
one_at_a_time::claude-sonnet-5::03,Claude,1987,247,13,19.0,0.6882591093117408,0.0,0.0,0.013085052843482638
one_at_a_time::claude-sonnet-5::04,Claude,1847,238,13,18.307692307692307,0.6638655462184874,0.0,0.0,0.01949106659447753
one_at_a_time::claude-sonnet-5::05,Claude,1950,252,13,19.384615384615383,0.6468253968253969,0.0,0.0,0.013846153846153847
one_at_a_time::claude-sonnet-5::06,Claude,1840,237,13,18.23076923076923,0.6835443037974683,0.0,0.0,0.014673913043478261
one_at_a_time::claude-sonnet-5::07,Claude,1947,258,13,19.846153846153847,0.6434108527131783,0.0,0.001027221366204417,0.01335387776065742
one_at_a_time::claude-sonnet-5::08,Claude,1895,239,13,18.384615384615383,0.7280334728033473,0.0,0.0,0.011609498680738786
one_at_a_time::claude-sonnet-5::09,Claude,1903,236,13,18.153846153846153,0.6652542372881356,0.0,0.0,0.009984235417761429
one_at_a_time::claude-sonnet-5::10,Claude,1907,239,13,18.384615384615383,0.6820083682008368,0.0,0.002097535395909806,0.0173046670162559
one_at_a_time::claude-sonnet-5::11,Claude,1971,259,13,19.923076923076923,0.6640926640926641,0.0,0.0,0.016235413495687467
one_at_a_time::claude-sonnet-5::12,Claude,1947,247,13,19.0,0.6558704453441295,0.0,0.0,0.015408320493066256
one_at_a_time::claude-sonnet-5::13,Claude,1962,250,13,19.23076923076923,0.692,0.0,0.0,0.014780835881753314
one_at_a_time::claude-sonnet-5::14,Claude,1808,243,13,18.692307692307693,0.6707818930041153,0.0,0.0,0.01825221238938053
one_at_a_time::claude-sonnet-5::15,Claude,1868,244,13,18.76923076923077,0.6680327868852459,0.0,0.0,0.015524625267665952
one_at_a_time::claude-sonnet-5::16,Claude,1953,261,13,20.076923076923077,0.6091954022988506,0.0,0.0,0.013312852022529442
one_at_a_time::claude-sonnet-5::17,Claude,1941,245,13,18.846153846153847,0.673469387755102,0.0,0.0010303967027305513,0.015971148892323546
one_at_a_time::claude-sonnet-5::18,Claude,1951,252,13,19.384615384615383,0.6626984126984127,0.0,0.0,0.012813941568426449
one_at_a_time::claude-sonnet-5::19,Claude,1923,249,13,19.153846153846153,0.6907630522088354,0.0,0.0010400416016640667,0.013520540821632865
one_at_a_time::claude-sonnet-5::20,Claude,2025,251,13,19.307692307692307,0.7131474103585658,0.0,0.0,0.01580246913580247
one_at_a_time::claude-sonnet-5::21,Claude,1844,245,13,18.846153846153847,0.6693877551020408,0.0,0.0,0.01735357917570499
one_at_a_time::claude-sonnet-5::22,Claude,1840,247,13,19.0,0.6234817813765182,0.0,0.0,0.01684782608695652
one_at_a_time::claude-sonnet-5::23,Claude,1899,246,13,18.923076923076923,0.6747967479674797,0.0,0.0,0.014218009478672985
one_at_a_time::gpt-5.5::01,GPT,1978,256,13,19.692307692307693,0.67578125,0.0,0.0,0.010616784630940344
