condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,reviews,original,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,857.0,0.7578439661488774,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,862.0,0.7747115619632737,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,720.5,0.21069378578033116,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,700.5,0.38204632532637506,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,718.0,0.2028311905253279,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
