group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.6444444444444444,3.6999999999999997,0.26105200276601637
human-y2,11,3.895454545454545,3.9,0.2108304886620884
human-all,23,3.764492753623189,3.766666666666667,0.26592246286884935
claude-opus-4-5,23,3.4028985507246374,3.5,0.3523246097767935
gemini-3-pro-preview,23,3.656521739130434,3.733333333333333,0.30124904670769076
gpt-5.2,23,3.993478260869565,4.033333333333333,0.2367572986104607
