evaluator,count,mean,median,std
gemini-3-pro-preview,92,4.175,4.25,0.621346464198058
gpt-5.2,92,3.7043478260869565,3.7,0.3034284112677206
claude-opus-4-5,86,3.177906976744186,3.0,0.3983498795518678
