condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,reviews,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,794.0,0.5021969484104903,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,803.0,0.5416661906722537,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,731.5,0.24734666245968817,0.9771972720293501,True,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,747.0,0.5976039538447769,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,788.0,0.47584821715069164,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,975.0,0.9771972720293501,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,972.0,0.975349829440656,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,803.5,0.543850516572628,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,656.5,0.20669315166112545,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,614.0,0.024020874956884437,0.8549468951446375,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,843.0,0.7071882741967076,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,845.0,0.7147166088091557,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,819.5,0.6126995479826379,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,651.0,0.1887049229892026,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,715.0,0.19363114870564868,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,804.0,0.5460335180137245,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,800.0,0.5285360960878449,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,829.5,0.6541323313618591,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,757.5,0.6445788499918359,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,798.0,0.5197645435137258,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,937.0,0.9430035403236908,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,941.0,0.9478711283630089,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,767.5,0.38730045201736213,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,761.5,0.6619537973005876,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,650.0,0.05699645967630917,0.8549468951446375,True,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,886.0,0.8458481298907148,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,899.0,0.8773759178938698,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,799.5,0.5263443383517382,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,687.0,0.32311960725279676,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,673.0,0.09222497646774308,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,866.0,0.7877125070198923,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,868.0,0.7940450242111436,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,847.5,0.7239952947256973,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,740.5,0.567750994438187,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,759.5,0.3540260949815961,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,strengths,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,932.0,0.9364238293012912,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,rephrased,strengths,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,939.0,0.945480284833935,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
