evaluator,count,mean,median,std
gemini-3-pro-preview,92,4.0630434782608695,4.1,0.41290112466328815
gpt-5.2,92,3.508695652173913,3.5,0.3126111842342833
claude-opus-4-5,92,3.268478260869565,3.3,0.3952824411903794
