group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.3138888888888887,3.4000000000000004,0.37158093408084136
human-y2,11,3.481818181818181,3.5666666666666664,0.3670796572237078
human-all,23,3.3942028985507244,3.5666666666666664,0.37100085408067496
claude-opus-4-5,23,3.7768115942028984,3.766666666666667,0.2941233821032735
gemini-3-pro-preview,23,3.479710144927536,3.466666666666667,0.2510058815429829
gpt-5.2,23,3.802898550724638,3.8666666666666667,0.25857282026857054
