metric,comparison,n_human_all,n_other,mean_diff,bootstrap_ci_lo,bootstrap_ci_hi,permutation_p_value,permutation_q_value
overall_score,human-all minus claude-opus-4-5,23,23,-0.3826086956521739,-0.5782971014492762,-0.197101449275364,0.0001999600079984003,0.00029994001199760045
overall_score,human-all minus gemini-3-pro-preview,23,23,-0.08550724637681162,-0.27101449275362244,0.09710144927536127,0.36372725454909016,0.36372725454909016
overall_score,human-all minus gpt-5.2,23,23,-0.40869565217391335,-0.592753623188405,-0.2217028985507255,0.0001999600079984003,0.00029994001199760045
Relevance_to_Emergent_Phenomena,human-all minus claude-opus-4-5,23,23,-1.3913043478260874,-1.7681159420289863,-1.0434782608695645,0.0001999600079984003,0.0001999600079984003
Relevance_to_Emergent_Phenomena,human-all minus gemini-3-pro-preview,23,23,-1.681159420289855,-2.0579710144927534,-1.318840579710146,0.0001999600079984003,0.0001999600079984003
Relevance_to_Emergent_Phenomena,human-all minus gpt-5.2,23,23,-1.4057971014492767,-1.8260869565217384,-1.0434782608695659,0.0001999600079984003,0.0001999600079984003
Novelty_and_Significance,human-all minus claude-opus-4-5,23,23,-0.17391304347826075,-0.3333333333333335,-0.04311594202898683,0.026794641071785644,0.026794641071785644
Novelty_and_Significance,human-all minus gemini-3-pro-preview,23,23,-0.2028985507246377,-0.36231884057970953,-0.057971014492754755,0.002999400119976005,0.004499100179964008
Novelty_and_Significance,human-all minus gpt-5.2,23,23,-0.21739130434782616,-0.3623188405797104,-0.08695652173913082,0.0001999600079984003,0.0005998800239952009
Rigor_of_Approach,human-all minus claude-opus-4-5,23,23,-0.02898550724637694,-0.20289855072463814,0.1304347826086949,0.7744451109778044,0.7744451109778044
Rigor_of_Approach,human-all minus gemini-3-pro-preview,23,23,0.15942028985507273,-0.04347826086956541,0.37681159420289756,0.14657068586282743,0.21985602879424115
Rigor_of_Approach,human-all minus gpt-5.2,23,23,-0.21739130434782572,-0.40579710144927494,-0.043478260869565855,0.030193961207758448,0.09058188362327535
Scope_and_Timeline,human-all minus claude-opus-4-5,23,23,0.15942028985507184,-0.17391304347826075,0.49275362318840576,0.40791841631673664,0.40791841631673664
Scope_and_Timeline,human-all minus gemini-3-pro-preview,23,23,1.1449275362318836,0.7681159420289854,1.4637681159420288,0.0001999600079984003,0.0005998800239952009
Scope_and_Timeline,human-all minus gpt-5.2,23,23,0.5217391304347823,0.14456521739130387,0.9130434782608692,0.01859628074385123,0.027894421115776846
Synthesis_Focus,human-all minus claude-opus-4-5,23,23,-0.4492753623188408,-0.8260869565217392,-0.10144927536231929,0.01899620075984803,0.01899620075984803
Synthesis_Focus,human-all minus gemini-3-pro-preview,23,23,-0.43478260869565144,-0.7971014492753605,-0.1449275362318847,0.007398520295940812,0.011097780443911218
Synthesis_Focus,human-all minus gpt-5.2,23,23,-0.6086956521739122,-0.9565217391304346,-0.3478260869565224,0.0001999600079984003,0.0005998800239952009
Data_Identification,human-all minus claude-opus-4-5,23,23,-0.3188405797101459,-0.6231884057971002,-0.057608695652175725,0.025994801039792043,0.038992201559688064
Data_Identification,human-all minus gemini-3-pro-preview,23,23,0.04347826086956541,-0.2032608695652176,0.3043478260869561,0.7504499100179964,0.7504499100179963
Data_Identification,human-all minus gpt-5.2,23,23,-0.5072463768115938,-0.8260869565217379,-0.20289855072463725,0.0013997200559888023,0.004199160167966407
Open_Science_Commitment,human-all minus claude-opus-4-5,23,23,-0.7246376811594186,-1.1304347826086945,-0.3478260869565224,0.0007998400319936012,0.0011997600479904018
Open_Science_Commitment,human-all minus gemini-3-pro-preview,23,23,-0.6811594202898537,-1.101449275362317,-0.2898550724637676,0.0013997200559888023,0.0013997200559888023
Open_Science_Commitment,human-all minus gpt-5.2,23,23,-0.9565217391304328,-1.3333333333333321,-0.6086956521739122,0.0001999600079984003,0.0005998800239952009
