metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
Rigor_of_Approach,23,23,169.0,0.016936892049316594,-0.3610586011342155,medium,claude-opus-4-5,gpt-5.2,3.260869565217391,3.44927536231884,0.04234223012329148
Rigor_of_Approach,23,23,119.0,0.00022702838670737356,-0.5500945179584121,large,gemini-3-pro-preview,gpt-5.2,3.0724637681159415,3.44927536231884,0.0022702838670737354
Scope_and_Timeline,12,11,63.0,0.8692005856184151,-0.045454545454545456,negligible,human-y1,human-y2,2.944444444444444,3.060606060606061,0.8692005856184151
Scope_and_Timeline,12,23,159.5,0.44314449707587067,0.15579710144927536,small,human-y1,claude-opus-4-5,2.944444444444444,2.840579710144928,0.4923827745287451
Scope_and_Timeline,12,23,239.0,0.0003549136942455943,0.7318840579710145,large,human-y1,gemini-3-pro-preview,2.944444444444444,1.8550724637681164,0.0011830456474853143
Scope_and_Timeline,12,23,178.0,0.15391751050286792,0.2898550724637681,small,human-y1,gpt-5.2,2.944444444444444,2.4782608695652177,0.25652918417144654
Scope_and_Timeline,11,23,154.5,0.28202986396059804,0.22134387351778656,small,human-y2,claude-opus-4-5,3.060606060606061,2.840579710144928,0.4028998056579972
Scope_and_Timeline,11,23,228.5,0.00012587466828352335,0.8063241106719368,large,human-y2,gemini-3-pro-preview,3.060606060606061,1.8550724637681164,0.0006293733414176167
Scope_and_Timeline,11,23,170.5,0.09277833763665977,0.34782608695652173,medium,human-y2,gpt-5.2,3.060606060606061,2.4782608695652177,0.18555667527331954
Scope_and_Timeline,23,23,442.5,6.85108818315771e-05,0.6729678638941399,large,claude-opus-4-5,gemini-3-pro-preview,2.840579710144928,1.8550724637681164,0.0006293733414176167
Scope_and_Timeline,23,23,308.0,0.3275817752077619,0.16446124763705103,small,claude-opus-4-5,gpt-5.2,2.840579710144928,2.4782608695652177,0.40947721900970235
Scope_and_Timeline,23,23,149.5,0.009727299182080096,-0.43478260869565216,medium,gemini-3-pro-preview,gpt-5.2,1.8550724637681164,2.4782608695652177,0.02431824795520024
Synthesis_Focus,12,11,60.5,0.7506525829370964,-0.08333333333333333,negligible,human-y1,human-y2,4.5,4.242424242424242,0.7506525829370964
Synthesis_Focus,12,23,49.0,0.0006865089997832153,-0.644927536231884,large,human-y1,claude-opus-4-5,4.5,4.82608695652174,0.0022883633326107175
Synthesis_Focus,12,23,68.0,0.00966030060970818,-0.5072463768115942,large,human-y1,gemini-3-pro-preview,4.5,4.811594202898551,0.01932060121941636
