proposal_uid,source_type,source_group,lda_topic,lda_topic_prob_0,lda_topic_prob_1,lda_topic_prob_2,lda_topic_prob_3,lda_topic_prob_4
y1::1,human,Human,3,0.0033245601937923713,0.003302038878238236,0.0032593179071198548,0.9868373381373576,0.003276744883491952
y1::10,human,Human,3,0.002313828603273929,0.0022911967478732986,0.002312460184079874,0.5644291661193364,0.4286533483454365
y1::11,human,Human,3,0.4354075041274186,0.002303248874915301,0.00229740647548256,0.5577090359398431,0.0022828045823405124
y1::12,human,Human,3,0.0024958980247489445,0.03650725662402743,0.0024496674195664623,0.9560484951843605,0.002498682747296574
y1::2,human,Human,3,0.002112769671914424,0.0021150746019725705,0.002096141714474002,0.9915648203641051,0.0021111936475338338
y1::3,human,Human,1,0.0022391606620720383,0.5099074360107391,0.002274176268471978,0.4833283781594778,0.0022508488992390367
y1::4,human,Human,3,0.00317026042379304,0.0031453851984777435,0.0031107049575084516,0.9874289902662771,0.003144659153943694
y1::5,human,Human,3,0.0021104622658585396,0.002114500805731483,0.0021115689522752602,0.9915545924167937,0.0021088755593410688
y1::6,human,Human,1,0.0019643636759343656,0.9921217970791095,0.001970013322440654,0.001978899820001816,0.001964926102513494
y1::7,human,Human,2,0.0023387434000608624,0.002346149553826346,0.9906142719496758,0.002350431422157481,0.002350403674279397
y1::8,human,Human,3,0.002078458210321715,0.002084771124462325,0.002063424527601745,0.7505939395455783,0.24317940659203585
y1::9,human,Human,3,0.0022722944913081467,0.0022755109847376366,0.0022236290277209375,0.9909721491428914,0.002256416353341931
y2::1,human,Human,2,0.0022711265210045846,0.0022813152600350607,0.9908844619725036,0.0022860602527762005,0.0022770359936804207
y2::10,human,Human,3,0.002160081041729354,0.0021773994452356778,0.0021684369479993124,0.9913325919032658,0.0021614906617699044
y2::11,human,Human,3,0.36181783092408754,0.003035748147795126,0.003022944977548598,0.6291203261496988,0.0030031498008700197
y2::2,human,Human,2,0.0022794641971694064,0.002298650892603753,0.6958449555654037,0.2972833107362614,0.0022936186085617183
y2::3,human,Human,3,0.0022668045741684292,0.002279207104776304,0.0022535594229772444,0.9909438560269196,0.002256572871158403
y2::4,human,Human,3,0.0025058477706089177,0.0025320935939262606,0.38455369321809857,0.6078838746250607,0.0025244907923055674
y2::5,human,Human,3,0.05453501998460708,0.00271744642513471,0.002709546422182038,0.9373221706435962,0.0027158165244799658
y2::6,human,Human,2,0.0025051451198700343,0.0025109710863131917,0.9899561553453583,0.0025118774704926193,0.0025158509779659366
y2::7,human,Human,3,0.0022208354433859434,0.0022277361091318872,0.002192753969459904,0.9911413883552795,0.0022172861227427575
y2::8,human,Human,3,0.0025102466619345205,0.0025248317988071298,0.002498535857276752,0.9899512847816769,0.002515100900304615
y2::9,human,Human,4,0.0024648677261945484,0.002466488887782432,0.0024392170888738267,0.002494817904182684,0.9901346083929665
one_at_a_time::claude-sonnet-5::01,ai,Claude,1,0.0018663305237149078,0.6594509043211664,0.0018823984353801345,0.027331017747484816,0.3094693489722538
one_at_a_time::claude-sonnet-5::02,ai,Claude,4,0.0018161276530025301,0.45706649135011945,0.0017893026896871765,0.0018070174454669643,0.5375210608617238
one_at_a_time::claude-sonnet-5::03,ai,Claude,4,0.0018684026329829069,0.0018800204731949368,0.001860101269204708,0.0018604710437752745,0.9925310045808421
one_at_a_time::claude-sonnet-5::04,ai,Claude,1,0.0018404497052963824,0.5883747996350659,0.001828379916454351,0.0018316527794687047,0.40612471796371463
one_at_a_time::claude-sonnet-5::05,ai,Claude,4,0.0018109097563759268,0.001818906344164433,0.0017926277634748692,0.0018104511895537133,0.9927671049464311
one_at_a_time::claude-sonnet-5::06,ai,Claude,1,0.002310822796696109,0.7319946262669614,0.002278556988432493,0.0022709859404946215,0.26114500800741547
one_at_a_time::claude-sonnet-5::07,ai,Claude,4,0.001837535522885778,0.001846230191503252,0.0018003998431875261,0.001817333052448514,0.9926985013899748
one_at_a_time::claude-sonnet-5::08,ai,Claude,1,0.0018690237331817113,0.6138515029850345,0.0018614927339243555,0.0018740022064292143,0.38054397834143
one_at_a_time::claude-sonnet-5::09,ai,Claude,1,0.0019288231064107121,0.6780211098787281,0.0019133589529350284,0.0019145102328187802,0.31622219782910727
one_at_a_time::claude-sonnet-5::10,ai,Claude,1,0.0018651579731527523,0.9925687251167447,0.0018413472916120961,0.0018479812484645639,0.0018767883700260418
one_at_a_time::claude-sonnet-5::11,ai,Claude,4,0.0019963044629916177,0.37801027360018163,0.0019635139461073197,0.001972028450704897,0.6160578795400145
one_at_a_time::claude-sonnet-5::12,ai,Claude,1,0.0022349202107995124,0.606076911716008,0.0022829240237441347,0.07007087071613007,0.31933437333331827
one_at_a_time::claude-sonnet-5::13,ai,Claude,4,0.0018177325173452071,0.001839543171808064,0.0018251375460641354,0.24563219789181792,0.7488853888729647
one_at_a_time::claude-sonnet-5::14,ai,Claude,1,0.0022470657107152856,0.8018633508375372,0.0022204221785698847,0.002238781938091157,0.19143037933508641
one_at_a_time::claude-sonnet-5::15,ai,Claude,4,0.001858934615091508,0.0018605926154511906,0.001839915872146528,0.0018528850980449037,0.9925876717992659
one_at_a_time::claude-sonnet-5::16,ai,Claude,4,0.0019495961277795507,0.001956569433635719,0.0019392461935428635,0.0019383187726940377,0.9922162694723479
one_at_a_time::claude-sonnet-5::17,ai,Claude,1,0.001719084817358219,0.9931346252918553,0.0017055796350314459,0.0017050116489232413,0.0017356986068317285
one_at_a_time::claude-sonnet-5::18,ai,Claude,1,0.156723322364274,0.40439789855646135,0.0019382259845961171,0.04738280515466202,0.38955774794000647
one_at_a_time::claude-sonnet-5::19,ai,Claude,4,0.0019282990458898217,0.001916467661792183,0.0018853653901482633,0.0019017995518881938,0.9923680683502816
one_at_a_time::claude-sonnet-5::20,ai,Claude,4,0.0018259669367413852,0.0018244774985249031,0.0018052278007318154,0.0018041768759076194,0.9927401508880943
one_at_a_time::claude-sonnet-5::21,ai,Claude,1,0.0018963866231455752,0.5130750901638581,0.0018705798531337215,0.0019044043614179277,0.4812535389984447
one_at_a_time::claude-sonnet-5::22,ai,Claude,1,0.001837578458458671,0.9926426861165066,0.0018353463914585796,0.0018427032639887415,0.0018416857695872538
one_at_a_time::claude-sonnet-5::23,ai,Claude,4,0.0018091151990245965,0.0018229398543316091,0.0017900121622294596,0.0017925625189327155,0.9927853702654816
