,mean_pairwise_distance,nearest_neighbor_distance,author_group_mean_pairwise_distance,author_group_nearest_neighbor_distance,global_nn_distance,global_mean_5nn_distance,literature_element_novelty_k1,literature_mean_knn_novelty_k10,literature_local_density_normalized_novelty,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,mesh_unique_terms_k20
mean_pairwise_distance,1.0,0.8752449881063276,0.9916791609139753,0.879178804755024,0.8923290642688454,0.9048704670331497,-0.013950965115844897,-0.024979205138194162,-0.024979205138194,-0.01086895212864852,0.014632074043260657,-0.027175863537406295,-0.10593086952640507
nearest_neighbor_distance,0.8752449881063276,1.0,0.8718560583222593,0.9559931437932512,0.9894798204577249,0.9856626821022242,0.038983856156014435,0.014612201543869066,0.014612201543869255,0.11493949817487155,-0.11224232297149522,0.08335188279975746,-0.07304301096102826
author_group_mean_pairwise_distance,0.9916791609139753,0.8718560583222593,1.0,0.8839834771606604,0.8891159636954736,0.9009876958665639,-0.022020875876172255,-0.027934054217025984,-0.027934054217025845,-0.011471791070157894,0.005046820794660351,-0.03609083203853649,-0.1171420746171815
author_group_nearest_neighbor_distance,0.879178804755024,0.9559931437932512,0.8839834771606604,1.0,0.9587009860889135,0.9658068975087228,-0.009018657489815517,-0.032590456804618174,-0.03259045680461804,0.0426713790153014,-0.049378934105180565,0.009724147911596944,-0.08607386048103756
global_nn_distance,0.8923290642688454,0.9894798204577249,0.8891159636954736,0.9587009860889135,1.0,0.99412779691736,0.027176224821338937,0.0038786817164093864,0.0038786817164095447,0.10908976629948744,-0.10858691161781903,0.07109231693251816,-0.07613994457610783
global_mean_5nn_distance,0.9048704670331497,0.9856626821022242,0.9009876958665639,0.9658068975087228,0.99412779691736,1.0,0.020735661095152586,-0.006340406365905458,-0.0063404063659053276,0.09520689074217083,-0.09569500208094674,0.05707872164049945,-0.07666233462527716
literature_element_novelty_k1,-0.013950965115844897,0.038983856156014435,-0.022020875876172255,-0.009018657489815517,0.027176224821338937,0.020735661095152586,1.0,0.9508300247660741,0.950830024766074,0.6346417099719689,-0.5921721973250369,0.5829327960074828,0.6125759191385907
literature_mean_knn_novelty_k10,-0.024979205138194162,0.014612201543869066,-0.027934054217025984,-0.032590456804618174,0.0038786817164093864,-0.006340406365905458,0.9508300247660741,1.0,1.0000000000000002,0.6647264586373907,-0.6168403612016775,0.6184122854544322,0.612777010584654
literature_local_density_normalized_novelty,-0.024979205138194,0.014612201543869255,-0.027934054217025845,-0.03259045680461804,0.0038786817164095447,-0.0063404063659053276,0.950830024766074,1.0000000000000002,1.0,0.6647264586373905,-0.6168403612016777,0.6184122854544323,0.6127770105846543
bertopic_region_entropy,-0.01086895212864852,0.11493949817487155,-0.011471791070157894,0.0426713790153014,0.10908976629948744,0.09520689074217083,0.6346417099719689,0.6647264586373907,0.6647264586373905,1.0,-0.953533281684299,0.9200439536935072,0.36902215120598963
bertopic_max_region_weight,0.014632074043260657,-0.11224232297149522,0.005046820794660351,-0.049378934105180565,-0.10858691161781903,-0.09569500208094674,-0.5921721973250369,-0.6168403612016775,-0.6168403612016777,-0.953533281684299,1.0,-0.7862076426827299,-0.32576767649633315
bertopic_unique_regions,-0.027175863537406295,0.08335188279975746,-0.03609083203853649,0.009724147911596944,0.07109231693251816,0.05707872164049945,0.5829327960074828,0.6184122854544322,0.6184122854544323,0.9200439536935072,-0.7862076426827299,1.0,0.36134425638365925
mesh_unique_terms_k20,-0.10593086952640507,-0.07304301096102826,-0.1171420746171815,-0.08607386048103756,-0.07613994457610783,-0.07666233462527716,0.6125759191385907,0.612777010584654,0.6127770105846543,0.36902215120598963,-0.32576767649633315,0.36134425638365925,1.0
